Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Acmaea,5657,5664,4.47,1,,,,Exact,9.41496,0,"Acmaea Eschscholtz, 1833",Acmaea,7NMSC,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Patellogastropoda|Lottioidea|Acmaeidae|Acmaea,
1,,Arbacia,30696,30704,4.27,1,,,,Exact,9.41496,0,"Arbacia Gray, 1835",Arbacia,7NPJF,1,Catalogue of Life,Biota|Animalia|Echinodermata|Echinozoa|Echinoidea|Euechinoidea|Carinacea|Echinacea|Arbacioida|Arbaciidae|Arbacia,
2,,Chaetopleura apiculata,6118,6140,13.82,2,,,,Exact,9.41496,0,"Chaetopleura apiculata (Say, 1834)",Chaetopleura apiculata,TDQM,1,Catalogue of Life,Biota|Animalia|Mollusca|Polyplacophora|Neoloricata|Chitonida|Chitonina|Chitonoidea|Chaetopleuridae|Chaetopleura|Chaetopleura apiculata,
3,,Cryptochiton,25827,25839,2.36,1,,,,Exact,9.41496,0,"Cryptochiton Middendorff, 1847",Cryptochiton,7NTVX,1,Catalogue of Life,Biota|Animalia|Mollusca|Polyplacophora|Neoloricata|Chitonida|Acanthochitonina|Cryptoplacoidea|Acanthochitonidae|Cryptochitoninae|Cryptochiton,
4,,Cryptochiton stelleri,11326,11347,9.93,2,,,,Exact,9.41496,0,"Cryptochiton stelleri (Middendorff, 1847)",Cryptochiton stelleri,ZWHP,1,Catalogue of Life,Biota|Animalia|Mollusca|Polyplacophora|Neoloricata|Chitonida|Acanthochitonina|Cryptoplacoidea|Acanthochitonidae|Cryptochitoninae|Cryptochiton|Cryptochiton stelleri,
5,,Ctenidia,19654,19662,3.99,1,,,,Exact,9.41426,0,Ctenidia de Laporte 1840,Ctenidia,50458,205,Nomenclator Zoologicus,,
6,,Gastropoda,31688,31700,4.62,1,,,,Exact,9.41496,0,"Gastropoda Cuvier, 1795",Gastropoda,BMGTT,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda,
7,,Ischnochiton magdalenensis,25528,25554,9.31,2,,,,Exact,9.41391,0,Ischnochiton (Stenoplax) magdalenensis (Hinds 1845),Ischnochiton magdalenensis,401175,172,PaleoBioDB,,
8,,Ishnochiton,30976,30988,2.15,1,,,,Exact,9.41145,0,Ishnochiton,Ishnochiton,urn:lsid:irmng.org:taxname:1058074,181,IRMNG,Biota|Animalia|Mollusca|Polyplacophora|Ischnochitonida|Ischnochitonidae|Ishnochiton,
9,,Ishnochiton magdalenensis,6268,6293,9.10,2,,,,Fuzzy,9.39084,1,Ischnochiton (Stenoplax) magdalenensis (Hinds 1845),Ischnochiton magdalenensis,401175,172,PaleoBioDB,,
10,,Katharina tunicata,1900,1918,12.21,2,,,,Exact,9.41496,0,"Katharina tunicata (W. Wood, 1815)",Katharina tunicata,3R3RS,1,Catalogue of Life,Biota|Animalia|Mollusca|Polyplacophora|Neoloricata|Chitonida|Acanthochitonina|Mopalioidea|Mopaliidae|Mopaliinae|Katharina|Katharina tunicata,
11,,Larvae,17661,17667,1.57,1,,,,Exact,9.41003,0,Larvae,Larvae,2579193,168,ION,,
12,,Lepidopleurus ascellus,6503,6525,13.44,2,,,,Fuzzy,9.39158,1,"Lepidopleurus asellus (Gmelin, 1791)",Lepidopleurus asellus,3TCNG,1,Catalogue of Life,Biota|Animalia|Mollusca|Polyplacophora|Neoloricata|Lepidopleurida|Lepidopleurina|Leptochitonidae|Leptochiton|Leptochiton asellus,
13,,Lepidopleurus asellus,25372,25393,13.27,2,,,,Exact,9.41461,0,"Lepidopleurus asellus (Gmelin, 1791)",Lepidopleurus asellus,3TCNG,1,Catalogue of Life,Biota|Animalia|Mollusca|Polyplacophora|Neoloricata|Lepidopleurida|Lepidopleurina|Leptochitonidae|Leptochiton|Leptochiton asellus,
14,,M. hindsii,652,663,6.55,2,,,,NoMatch,0.0,,,,,,,,
