Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Esox lucius,42440,42452,8.26,2,,,,Exact,9.41496,0,"Esox lucius Linnaeus, 1758",Esox lucius,3BHYH,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Esociformes|Esocidae|Esox|Esox lucius,
1,,Macquaria ambigua,38668,38686,10.81,2,,,,Exact,9.41496,0,"Macquaria ambigua (Richardson, 1845)",Macquaria ambigua,3X24T,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Perciformes|Percichthyidae|Macquaria|Macquaria ambigua,
2,,Oncorhynchous mykiss,40999,41019,2.48,2,,,,Fuzzy,9.39194,1,"Oncorhynchus mykiss (Walbaum, 1792)",Oncorhynchus mykiss,49JFF,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Salmoniformes|Salmonidae|Oncorhynchus|Oncorhynchus mykiss,
3,,Salmo gairdneri,38340,38356,10.66,2,,,,Exact,9.41461,0,"Salmo gairdneri Richardson, 1836",Salmo gairdneri,79D7T,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Salmoniformes|Salmonidae|Oncorhynchus|Oncorhynchus mykiss,
4,,Salvelinus fontinalus,39804,39826,8.16,2,,,,Exact,9.41003,0,Salvelinus fontinalus,Salvelinus fontinalus,4382740,168,ION,,
5,,Sarda chiliensis,133,152,9.57,2,,,,Exact,9.41496,0,"Sarda chiliensis (Cuvier, 1832)",Sarda chiliensis,6XMK8,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Perciformes|Scombridae|Sarda|Sarda chiliensis,
6,,Sciaenops ocellatus,42602,42623,12.95,2,,,,Exact,9.41496,0,"Sciaenops ocellatus (Linnaeus, 1766)",Sciaenops ocellatus,4VH94,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Perciformes|Sciaenidae|Sciaenops|Sciaenops ocellatus,
7,,Scomber japonicus,174,194,8.25,2,,,,Exact,9.41496,0,"Scomber japonicus Houttuyn, 1782",Scomber japonicus,79XK5,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Perciformes|Scombridae|Scomber|Scomber japonicus,
8,,Tamara,38032,38038,3.95,1,,,,Exact,9.41453,0,Tamara Roxb. ex Steud.,Tamara,5TH5Z,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Proteales|Nelumbonaceae|Nelumbo,
9,,Thunnus albacares,105,125,9.98,2,,,,Exact,9.41496,0,"Thunnus albacares (Bonnaterre, 1788)",Thunnus albacares,56P6S,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Perciformes|Scombridae|Thunnus|Thunnus albacares,
