Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Crassostre gigas,49795,49812,2.69,2,,,,Fuzzy,9.39158,1,"Crassostrea (Magallana) gigas (Thunberg, 1793)",Crassostrea gigas,8RXBS,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Ostreida|Ostreoidea|Ostreidae|Crassostreinae|Magallana|Magallana gigas,
1,,Crassostrea,51038,51052,4.92,1,,,,Exact,9.41496,0,"Crassostrea Sacco, 1897",Crassostrea,7NTQW,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Ostreida|Ostreoidea|Ostreidae|Crassostreinae|Crassostrea,
2,,Crassostrea gigas,51214,51232,9.63,2,,,,Exact,9.41461,0,"Crassostrea (Magallana) gigas (Thunberg, 1793)",Crassostrea gigas,8RXBS,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Ostreida|Ostreoidea|Ostreidae|Crassostreinae|Magallana|Magallana gigas,
3,,Crassostrea virginica,25083,25104,12.70,2,,,,Exact,9.41496,0,"Crassostrea virginica (Gmelin, 1791)",Crassostrea virginica,Z6ZW,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Ostreida|Ostreoidea|Ostreidae|Crassostreinae|Crassostrea|Crassostrea virginica,
4,,Haliotis discus,49560,49576,7.37,2,,,,Exact,9.41496,0,"Haliotis discus Reeve, 1846",Haliotis discus,3JDX6,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Lepetellida|Haliotoidea|Haliotidae|Haliotis|Haliotis discus,
5,,Haliotis discus hannai,49303,49326,11.15,3,,,,Exact,9.49649,0,"Haliotis discus hannai Ino, 1953",Haliotis discus hannai,7H6YN,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Lepetellida|Haliotoidea|Haliotidae|Haliotis|Haliotis discus|Haliotis discus hannai,
6,,Haliotis rubra,40037,40052,9.85,2,,,,Exact,9.41496,0,"Haliotis rubra Leach, 1814",Haliotis rubra,3JDZK,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Lepetellida|Haliotoidea|Haliotidae|Haliotis|Haliotis rubra,
7,,Haliotis rufescens,1411,1430,11.00,2,,,,Exact,9.41496,0,"Haliotis rufescens Swainson, 1822",Haliotis rufescens,3JDZL,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Lepetellida|Haliotoidea|Haliotidae|Haliotis|Haliotis rufescens,
8,,Haplosporidium nelsoni,54226,54249,12.50,2,,,,Exact,9.41426,0,"Haplosporidium nelsoni Haskin, Stauber & Mackin, 1966",Haplosporidium nelsoni,urn:lsid:marinespecies.org:taxname:394949,9,WoRMS,Chromista|Cercozoa|Ascetosporea|Haplosporida|Haplosporidiidae|Haplosporidium|Haplosporidium nelsoni,
9,,Mercenaria mercenaria,25023,25044,12.06,2,,,,Exact,9.41496,0,"Mercenaria mercenaria (Linnaeus, 1758)",Mercenaria mercenaria,3ZTFD,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Heteroconchia|Euheterodonta|Imparidentia|Venerida|Veneroidea|Veneridae|Venerinae|Mercenaria|Mercenaria mercenaria,
10,,Mulinia lateralis,50532,50550,11.60,2,,,,Exact,9.41496,0,"Mulinia lateralis (Say, 1822)",Mulinia lateralis,44JYJ,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Heteroconchia|Euheterodonta|Imparidentia|Venerida|Mactroidea|Mactridae|Mactrinae|Mulinia|Mulinia lateralis,
11,,Patinopecten yessoensis,52535,52559,10.39,2,,,,Exact,9.41461,0,"Patinopecten (Patinopecten) yessoensis (Jay, 1857)",Patinopecten yessoensis,8QFW7,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Pectinida|Pectinoidea|Pectinidae|Pedinae|Fortipectinini|Mizuhopecten|Mizuhopecten yessoensis,
12,,Pinctada fucata martensii,54384,54410,16.02,3,,,,Exact,9.49620,0,"Pinctada fucata martensii (Dunker, 1880)",Pinctada fucata martensii,BPSY3,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Ostreida|Pterioidea|Margaritidae|Pinctada|Pinctada fucata,
13,,Sonoma,47193,47199,4.84,1,,,,Exact,9.41496,0,"Sonoma Casey, 1886",Sonoma,9JBK5,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Coleoptera|Staphylinoidea|Staphylinidae|Pselaphinae|Faronitae|Sonoma,
14,,South-central,47008,47021,1.09,1,,,,Exact,9.41145,0,South-central,South-central,50981236-1,167,IPNI,,
