Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. aurita,6900,6909,5.82,2,,,,NoMatch,0.0,,,,,,,,
1,,A. labiata,16589,16600,7.54,2,,,,NoMatch,0.0,,,,,,,,
2,,A. labiata planula,16437,16455,9.14,3,,,,NoMatch,0.0,,,,,,,,
3,,Aurelia,16983,16990,0.63,1,,,,Exact,9.41496,0,"Aurelia Lamarck, 1816",Aurelia,84LNT,1,Catalogue of Life,Biota|Animalia|Cnidaria|Scyphozoa|Discomedusae|Semaeostomeae|Ulmaridae|Aureliinae|Aurelia,
4,,Aurelia aurita,3428,3442,10.97,2,,,,Exact,9.41496,0,"Aurelia aurita (Linnaeus, 1758)",Aurelia aurita,JTCQ,1,Catalogue of Life,Biota|Animalia|Cnidaria|Scyphozoa|Discomedusae|Semaeostomeae|Ulmaridae|Aureliinae|Aurelia|Aurelia aurita,
5,,Aurelia aurita planula,5306,5328,12.57,3,,,,PartialExact,8.65558,0,"Aurelia aurita (Linnaeus, 1758)",Aurelia aurita,JTCQ,1,Catalogue of Life,Biota|Animalia|Cnidaria|Scyphozoa|Discomedusae|Semaeostomeae|Ulmaridae|Aureliinae|Aurelia|Aurelia aurita,
6,,Aurelia labiata,430,446,12.69,2,,,,Exact,9.41496,0,"Aurelia labiata Chamisso & Eysenhardt, 1821",Aurelia labiata,JTCZ,1,Catalogue of Life,Biota|Animalia|Cnidaria|Scyphozoa|Discomedusae|Semaeostomeae|Ulmaridae|Aureliinae|Aurelia|Aurelia labiata,
7,,Aurelia labiata planula,33941,33964,14.30,3,,,,PartialExact,8.65558,0,"Aurelia labiata Chamisso & Eysenhardt, 1821",Aurelia labiata,JTCZ,1,Catalogue of Life,Biota|Animalia|Cnidaria|Scyphozoa|Discomedusae|Semaeostomeae|Ulmaridae|Aureliinae|Aurelia|Aurelia labiata,
8,,Aurelia metamorphosis,32503,32524,3.78,2,,,,PartialExact,8.65558,0,"Aurelia Lamarck, 1816",Aurelia,84LNT,1,Catalogue of Life,Biota|Animalia|Cnidaria|Scyphozoa|Discomedusae|Semaeostomeae|Ulmaridae|Aureliinae|Aurelia,
9,,C. capillata,5805,5817,7.85,2,,,,NoMatch,0.0,,,,,,,,
10,,C. quinquecirrha,23842,23858,4.66,2,,,,NoMatch,0.0,,,,,,,,
