Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Aquaria,1877,1884,4.24,1,,,,Exact,9.41461,0,"Aquaria Perry, 1811",Aquaria,BG7DF,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Heteroconchia|Euheterodonta|Anomalodesmata|Clavagelloidea|Penicillidae|Verpa,
1,,Artemia,3427,3434,4.48,1,,,,Exact,9.41496,0,"Artemia Leach, 1819",Artemia,62CGG,1,Catalogue of Life,Biota|Animalia|Arthropoda|Branchiopoda|Anostraca|Artemiina|Artemiidae|Artemia,
2,,Artemia nauplii,16220,16235,7.59,2,,,,Exact,9.41003,0,Artemia nauplii,Artemia nauplii,2869122,168,ION,,
3,,Ascidia paratropa,230,248,9.85,2,,,,Exact,9.41496,0,"Ascidia paratropa (Huntsman, 1912)",Ascidia paratropa,H5YS,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Phlebobranchia|Ascidiidae|Ascidia|Ascidia paratropa,
4,,Brachyura,26174,26184,5.28,1,,,,Exact,9.41496,0,"Brachyura Latreille, 1802",Brachyura,B8WMW,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Brachyura,
5,,Catalogus editus,27536,27552,5.36,2,,,,NoMatch,0.0,,,,,,,,
6,,Chaetoceros gracilis,3575,3596,11.53,2,,,,Exact,9.41461,0,Chaetoceros gracilis Schütt,Chaetoceros gracilis,TB4Z,1,Catalogue of Life,Biota|Chromista|Ochrophyta|Bacillariophyceae|Chaetocerotales|Chaetocerotaceae|Chaetoceros|Chaetoceros neogracilis,
7,,Ciona intestinalis,20750,20768,11.88,2,,,,Exact,9.41496,0,"Ciona intestinalis (Linnaeus, 1767)",Ciona intestinalis,VFCZ,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Phlebobranchia|Cionidae|Ciona|Ciona intestinalis,
8,,Crassostrea yirginica,14047,14069,7.62,2,,,,Fuzzy,9.39194,1,"Crassostrea virginica (Gmelin, 1791)",Crassostrea virginica,Z6ZW,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Ostreida|Ostreoidea|Ostreidae|Crassostreinae|Crassostrea|Crassostrea virginica,
9,,Crustacea,26422,26432,4.48,1,,,,Exact,9.41426,0,"Crustacea Brünnich, 1772",Crustacea,83677,3,ITIS,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea,
10,,Dana,25202,25208,2.44,1,,,,Exact,9.41496,0,"Dana Lowry, 2011",Dana,7P7ZM,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda|Senticaudata|Talitrida|Talitridira|Talitroidea|Talitroidae|Makawidae|Dana,
11,,Decapoda,26694,26704,3.69,1,,,,Exact,9.41426,0,"Decapoda Latreille, 1802",Decapoda,95599,3,ITIS,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda,
12,,Fabia subquadrata,609,627,11.55,2,,,,Exact,9.41496,0,"Fabia subquadrata Dana, 1851",Fabia subquadrata,3DQYL,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Brachyura|Eubrachyura|Thoracotremata|Pinnotheroidea|Pinnotheridae|Pinnotherinae|Fabia|Fabia subquadrata,
13,,H. hilgendorfi igaboja,203,225,8.74,3,,,,NoMatch,0.0,,,,,,,,
14,,Halocynthia,14471,14482,5.45,1,,,,Exact,9.41496,0,"Halocynthia Verrill, 1879",Halocynthia,7P58B,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Stolidobranchia|Pyuridae|Halocynthia,
