Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Acantho,5559,5567,3.14,1,,,,NoMatch,0.0,,,,,,,,
1,,Anisakidae,4497,4507,4.78,1,,,,Exact,9.41496,0,"Anisakidae Railliet & Henry, 1912",Anisakidae,87BY5,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Spirurina|Ascaridomorpha|Ascaridoidea|Anisakidae,
2,,Anisakidae nematodes,8608,8629,7.88,2,,,,PartialExact,8.65558,0,"Anisakidae Railliet & Henry, 1912",Anisakidae,87BY5,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Spirurina|Ascaridomorpha|Ascaridoidea|Anisakidae,
3,,Ceratomyxa,3606,3616,2.77,1,,,,Exact,9.41496,0,"Ceratomyxa Thélohan, 1892",Ceratomyxa,84N92,1,Catalogue of Life,Biota|Animalia|Cnidaria|Myxozoa|Myxosporea|Bivalvulida|Variisporina|Ceratomyxidae|Ceratomyxa,
4,,Ceratomyxa hopkinsi,3490,3510,8.94,2,,,,Exact,9.41496,0,"Ceratomyxa hopkinsi Jameson, 1929",Ceratomyxa hopkinsi,SNGQ,1,Catalogue of Life,Biota|Animalia|Cnidaria|Myxozoa|Myxosporea|Bivalvulida|Variisporina|Ceratomyxidae|Ceratomyxa|Ceratomyxa hopkinsi,
5,,Ceratomyxidae,3541,3555,5.11,1,,,,Exact,9.41496,0,"Ceratomyxidae Doflein, 1899",Ceratomyxidae,84K9P,1,Catalogue of Life,Biota|Animalia|Cnidaria|Myxozoa|Myxosporea|Bivalvulida|Variisporina|Ceratomyxidae,
6,,Citharichthys sordidus,551,574,12.06,2,,,,Exact,9.41496,0,"Citharichthys sordidus (Girard, 1854)",Citharichthys sordidus,VM6Y,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Pleuronectiformes|Paralichthyidae|Citharichthys|Citharichthys sordidus,
7,,Contracaecum,8769,8781,5.48,1,,,,Exact,9.41496,0,"Contracaecum Railliet & Henry, 1912",Contracaecum,87F7K,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Spirurina|Ascaridomorpha|Ascaridoidea|Anisakidae|Contracaecinae|Contracaecum,
8,,Contracaecum aduncum,9730,9750,12.55,2,,,,Exact,9.41461,0,"Contracaecum aduncum (Rudolphi, 1802)",Contracaecum aduncum,99GZC,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Spirurina|Ascaridomorpha|Ascaridoidea|Raphidascarididae|Raphidascaridinae|Raphidascaridinea|Hysterothylacium|Hysterothylacium aduncum,
9,,Flesus,15002,15008,2.90,1,,,,Exact,9.41426,0,Flesus Moreau 1881,Flesus,77346,205,Nomenclator Zoologicus,,
