Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Cladophora trichotoma,1763,1784,12.34,2,,,,Exact,9.41391,0,Cladophora trichotoma (C.Agardh) Kützing,Cladophora trichotoma,16717,195,AlgaeBase,,
1,,Cryptochiton stelleri,8087,8108,9.93,2,,,,Exact,9.41496,0,"Cryptochiton stelleri (Middendorff, 1847)",Cryptochiton stelleri,ZWHP,1,Catalogue of Life,Biota|Animalia|Mollusca|Polyplacophora|Neoloricata|Chitonida|Acanthochitonina|Cryptoplacoidea|Acanthochitonidae|Cryptochitoninae|Cryptochiton|Cryptochiton stelleri,
2,,Ectocarpus,2430,2440,5.33,1,,,,Exact,9.41496,0,"Ectocarpus Lyngbye, 1819",Ectocarpus,7NY47,1,Catalogue of Life,Biota|Chromista|Ochrophyta|Phaeophyceae|Ectocarpales|Ectocarpaceae|Ectocarpus,
3,,Endocladia muricata,1653,1673,12.48,2,,,,Exact,9.41426,0,Endocladia muricata (Endlicher) J.Agardh,Endocladia muricata,4954,195,AlgaeBase,Rhodophyta|Florideophyceae|Gigartinales|Endocladiaceae|Endocladia|Endocladia muricata,
4,,Fucus furcatus,2047,2061,11.18,2,,,,Exact,9.41426,0,Fucus furcatus Stackhouse,Fucus furcatus,67295,195,AlgaeBase,Ochrophyta|Phaeophyceae|Fucales|Fucaceae|Fucus|Fucus furcatus,
5,,Gelidium,2400,2408,4.97,1,,,,Exact,9.41496,0,"Gelidium J.V.F. Lamouroux, 1813",Gelidium,62T5Y,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Florideophyceae|Gelidiales|Gelidiaceae|Gelidium,
6,,Gigartina papillata,1674,1694,12.35,2,,,,Exact,9.41391,0,Gigartina papillata (C.Agardh) J.Agardh,Gigartina papillata,12734,195,AlgaeBase,Rhodophyta|Florideophyceae|Gigartinales|Phyllophoraceae|Mastocarpus|Mastocarpus papillatus,
7,,Gland californica,17435,17452,0.51,2,,,,NoMatch,0.0,,,,,,,,
8,,Gonad californica,16556,16573,2.64,2,,,,NoMatch,0.0,,,,,,,,
9,,Gonad muscosa,16413,16426,2.10,2,,,,NoMatch,0.0,,,,,,,,
10,,Gut californica,16514,16529,1.48,2,,,,NoMatch,0.0,,,,,,,,
11,,Gut muscosa,11897,11908,0.94,2,,,,NoMatch,0.0,,,,,,,,
12,,Katharina tunicata,8067,8086,12.21,2,,,,Exact,9.41496,0,"Katharina tunicata (W. Wood, 1815)",Katharina tunicata,3R3RS,1,Catalogue of Life,Biota|Animalia|Mollusca|Polyplacophora|Neoloricata|Chitonida|Acanthochitonina|Mopalioidea|Mopaliidae|Mopaliinae|Katharina|Katharina tunicata,
13,,M. muscosa,4944,4954,7.11,2,,,,NoMatch,0.0,,,,,,,,
