Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Acanthozostera gemmata,6734,6756,13.82,2,,,,Exact,9.41286,0,Acanthozostera gemmata (de Blainville 1825),Acanthozostera gemmata,2090895,168,ION,,
1,,Acmaea limatula,13819,13834,11.20,2,,,,Exact,9.41461,0,"Acmaea limatula (P. P. Carpenter, 1864)",Acmaea limatula,9DDV,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Patellogastropoda|Lottioidea|Lottiidae|Lottiinae|Lottiini|Lottia|Lottia limatula,
2,,Acmaea pelta,13839,13851,9.66,2,,,,Exact,9.41461,0,"Acmaea (Collisella) pelta (Rathke, 1833)",Acmaea pelta,9CNGN,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Patellogastropoda|Lottioidea|Lottiidae|Lottiinae|Lottiini|Lottia|Lottia pelta,
3,,Anthopleura elegantissima,2490,2515,8.86,2,,,,Exact,9.41496,0,"Anthopleura elegantissima (Brandt, 1835)",Anthopleura elegantissima,67FKB,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Actinioidea|Actiniidae|Anthopleura|Anthopleura elegantissima,
4,,Anthopleura xanthogrammica,5046,5073,13.40,2,,,,Exact,9.41496,0,"Anthopleura xanthogrammica (Brandt, 1835)",Anthopleura xanthogrammica,5VFKG,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Actinioidea|Actiniidae|Anthopleura|Anthopleura xanthogrammica,
5,,C. limatula,3051,3062,6.33,2,,,,NoMatch,0.0,,,,,,,,
6,,C. pelta,10930,10938,4.79,2,,,,NoMatch,0.0,,,,,,,,
7,,C. scabra,3332,3341,5.73,2,,,,NoMatch,0.0,,,,,,,,
8,,Chaetomorpha,9937,9949,5.33,1,,,,Exact,9.41496,0,"Chaetomorpha Kützing, 1845",Chaetomorpha,3LNB,1,Catalogue of Life,Biota|Plantae|Chlorophyta|Chlorophytina|Ulvophyceae|Cladophorales|Cladophoraceae|Chaetomorpha,
9,,Chiton,57,63,,1,,,,Exact,9.41496,0,"Chiton Linnaeus, 1758",Chiton,7NSNY,1,Catalogue of Life,Biota|Animalia|Mollusca|Polyplacophora|Neoloricata|Chitonida|Chitonina|Chitonoidea|Chitonidae|Chitoninae|Chiton,
10,,Chiton tuberculatus,6682,6701,9.26,2,,,,Exact,9.41496,0,"Chiton tuberculatus Linnaeus, 1758",Chiton tuberculatus,5XW2S,1,Catalogue of Life,Biota|Animalia|Mollusca|Polyplacophora|Neoloricata|Chitonida|Chitonina|Chitonoidea|Chitonidae|Chitoninae|Chiton|Chiton tuberculatus,
11,,Cladophora,9770,9780,5.49,1,,,,Exact,9.41496,0,"Cladophora Kützing, 1843",Cladophora,62LGP,1,Catalogue of Life,Biota|Plantae|Chlorophyta|Chlorophytina|Ulvophyceae|Cladophorales|Cladophoraceae|Cladophora,
