Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Anomura,20810,20818,4.09,1,,,,Exact,9.41496,0,"Anomura MacLeay, 1838",Anomura,BMJWR,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Anomura,
1,,Artemia nauplii,1655,1671,7.59,2,,,,Exact,9.41003,0,Artemia nauplii,Artemia nauplii,2869122,168,ION,,
2,,Dactylus,18981,18989,5.15,1,,,,Exact,9.41461,0,"Dactylus Schumacher, 1817",Dactylus,BF5RP,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Acteonimorpha|Acteonoidea|Acteonidae|Pupa,
3,,Dana,72,78,2.44,1,,,,Exact,9.41496,0,"Dana Lowry, 2011",Dana,7P7ZM,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda|Senticaudata|Talitrida|Talitridira|Talitroidea|Talitroidae|Makawidae|Dana,
4,,Glaucothoe,5636,5646,4.26,1,,,,Exact,9.41461,0,"Glaucothoe Leach, 1852",Glaucothoe,BGF9N,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Littorinimorpha|Truncatelloidea|Truncatellidae|Truncatellinae|Truncatella,
5,,Merus,19163,19168,4.82,1,,,,Exact,9.41496,0,"Merus Gistel, J., 1856",Merus,8HFL9,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Coleoptera|Curculionoidea|Curculionidae|Merus,
6,,P. beringanus,187,200,7.28,2,,,,NoMatch,0.0,,,,,,,,
7,,P. granosimanus,4987,5002,7.31,2,,,,NoMatch,0.0,,,,,,,,
8,,P. hemphillii,120,133,6.89,2,,,,NoMatch,0.0,,,,,,,,
9,,P. hirsutiusculus,54,71,7.35,2,,,,NoMatch,0.0,,,,,,,,
10,,P. ochotensis,152,165,6.40,2,,,,NoMatch,0.0,,,,,,,,
11,,P. ochotensis indicated,4836,4859,4.99,3,,,,NoMatch,0.0,,,,,,,,
12,,P. samuelis,668,679,7.41,2,,,,NoMatch,0.0,,,,,,,,
13,,Paguridae,7869,7878,4.85,1,,,,Exact,9.41496,0,"Paguridae Latreille, 1802",Paguridae,B3FXX,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Anomura|Paguroidea|Paguridae,
14,,Pagurus,15,23,5.19,1,,,,Exact,9.41496,0,"Pagurus Fabricius, 1775",Pagurus,B3K8P,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Anomura|Paguroidea|Paguridae|Pagurus,
15,,Pagurus granosimanus,9072,9092,12.91,2,,,,Exact,9.41496,0,"Pagurus granosimanus (Stimpson, 1859)",Pagurus granosimanus,B3YKD,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Anomura|Paguroidea|Paguridae|Pagurus|Pagurus granosimanus,
16,,Pagurus hemphillii,9114,9132,12.49,2,,,,Exact,9.41003,0,Pagurus hemphillii,Pagurus hemphillii,3700716,168,ION,,
17,,Pagurus hirsutiusculus,9035,9057,12.94,2,,,,Exact,9.41496,0,"Pagurus hirsutiusculus (Dana, 1851)",Pagurus hirsutiusculus,B3YKK,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Anomura|Paguroidea|Paguridae|Pagurus|Pagurus hirsutiusculus,
18,,Pagurus samielis,10543,10559,7.93,2,,,,Fuzzy,9.39194,1,"Pagurus samuelis (Stimpson, 1857)",Pagurus samuelis,B3YLV,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Anomura|Paguroidea|Paguridae|Pagurus|Pagurus samuelis,
19,,Pagurus samuelis,9000,9016,13.00,2,,,,Exact,9.41496,0,"Pagurus samuelis (Stimpson, 1857)",Pagurus samuelis,B3YLV,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Anomura|Paguroidea|Paguridae|Pagurus|Pagurus samuelis,
20,,Prox,19347,19351,2.12,1,,,,Exact,9.41426,0,Prox Ogilby 1837,Prox,165624,205,Nomenclator Zoologicus,,
21,,P�g��pigurus granosimanus,15129,15155,8.29,2,,,,NoMatch,0.0,,,,,,,,
22,,P�h��pagurus hiraittuscilus,13337,13365,3.25,2,,,,NoMatch,0.0,,,,,,,,
23,,P�h��pagurus hirsutiusculus,15100,15128,8.32,2,,,,NoMatch,0.0,,,,,,,,
24,,P�o��paguris ochotensis,15183,15207,4.97,2,,,,NoMatch,0.0,,,,,,,,
25,,P�s��pagurus samuelis,15077,15099,8.39,2,,,,NoMatch,0.0,,,,,,,,
26,,Zoea,14309,14313,3.48,1,,,,Exact,9.41426,0,Zoea Bosc 1801,Zoea,343210,205,Nomenclator Zoologicus,,
