Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Amphri johnstoni,12227,12243,3.80,2,,,,NoMatch,0.0,,,,,,,,
1,,Amphritrite johnstoni,12012,12033,9.97,2,,,,Fuzzy,9.39158,1,"Amphitrite johnstoni Malmgren, 1866",Amphitrite johnstoni,66FF4,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Terebellida|Terebelliformia|Terebellidae|Terebellinae|Terebellini|Neoamphitrite|Neoamphitrite figulus,
2,,Amphritrite ornata,12158,12176,10.55,2,,,,Fuzzy,9.39194,1,"Amphitrite ornata (Leidy, 1855)",Amphitrite ornata,D6F6,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Terebellida|Terebelliformia|Terebellidae|Terebellinae|Terebellini|Amphitrite|Amphitrite ornata,
3,,Arenicola marina,532,548,8.33,2,,,,Exact,9.41496,0,"Arenicola marina (Linnaeus, 1758)",Arenicola marina,GFJ9,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Scolecida|Arenicolidae|Arenicola|Arenicola marina,
4,,C. luxuriosa,2891,2903,7.42,2,,,,NoMatch,0.0,,,,,,,,
5,,Cirriformia,12707,12718,5.20,1,,,,Exact,9.41496,0,"Cirriformia Hartman, 1936",Cirriformia,84MDG,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Terebellida|Cirratuliformia|Cirratulidae|Cirriformia,
6,,Cirriformia luxuriosa,2402,2423,13.02,2,,,,Exact,9.41461,0,"Cirriformia luxuriosa (Moore, 1904)",Cirriformia luxuriosa,VGZ8,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Terebellida|Cirratuliformia|Cirratulidae|Timarete|Timarete luxuriosa,
7,,D�amphritrite johnstoni,11240,11263,5.25,2,,,,NoMatch,0.0,,,,,,,,
8,,Glycera americana,12126,12143,9.09,2,,,,Exact,9.41496,0,"Glycera americana Leidy, 1855",Glycera americana,6KKNF,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Phyllodocida|Glyceriformia|Glyceridae|Glycera|Glycera americana,
9,,Glycera rugosa,12394,12408,12.22,2,,,,Exact,9.41461,0,"Glycera rugosa Johnson, 1901",Glycera rugosa,6KL2C,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Phyllodocida|Glyceriformia|Glyceridae|Glycera|Glycera americana,
10,,H. brevisetosa,2695,2709,7.69,2,,,,NoMatch,0.0,,,,,,,,
11,,Halosydna,12788,12797,3.48,1,,,,Exact,9.41496,0,"Halosydna Kinberg, 1856",Halosydna,84NY2,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Phyllodocida|Aphroditiformia|Polynoidae|Lepidonotinae|Halosydna,
