Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Aechmophorus occidentalis,12339,12366,14.18,2,,,,Exact,9.41496,0,"Aechmophorus occidentalis (Lawrence, 1858)",Aechmophorus occidentalis,64V5F,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Sarcopterygii|Tetrapoda|Amniota|Aves|Podicipediformes|Podicipedidae|Aechmophorus|Aechmophorus occidentalis,
1,,Eumetopias jubata,12609,12628,12.62,2,,,,Exact,9.41391,0,Eumetopias (Eumetopias) jubata (Schreber 1776),Eumetopias jubata,146908,172,PaleoBioDB,,
2,,Gavia arctica,12399,12414,11.38,2,,,,Exact,9.41496,0,"Gavia arctica (Linnaeus, 1758)",Gavia arctica,3FFP5,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Sarcopterygii|Tetrapoda|Amniota|Aves|Gaviiformes|Gaviidae|Gavia|Gavia arctica,
3,,Larus delawarensis,12567,12587,11.65,2,,,,Exact,9.41496,0,"Larus delawarensis Ord, 1815",Larus delawarensis,3SBQ4,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Sarcopterygii|Tetrapoda|Amniota|Aves|Charadriiformes|Laridae|Larus|Larus delawarensis,
4,,Larus occidentalis,12525,12545,12.89,2,,,,Exact,9.41496,0,"Larus occidentalis Audubon, 1839",Larus occidentalis,3SBQT,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Sarcopterygii|Tetrapoda|Amniota|Aves|Charadriiformes|Laridae|Larus|Larus occidentalis,
5,,Nonella,2682,2689,4.66,1,,,,Exact,9.41145,0,Nonella,Nonella,urn:lsid:irmng.org:taxname:1287863,181,IRMNG,Biota|Animalia|Arthropoda|Hexapoda|Insecta|Diptera|Chironomidae|Nonella,
6,,Oceanodroma furcata,12452,12473,13.58,2,,,,Exact,9.41496,0,"Oceanodroma furcata (Gmelin, 1789)",Oceanodroma furcata,48C44,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Sarcopterygii|Tetrapoda|Amniota|Aves|Procellariiformes|Hydrobatidae|Hydrobatinae|Oceanodroma|Oceanodroma furcata,
7,,Oceanodroma homochroa,12485,12507,11.10,2,,,,Exact,9.41496,0,"Oceanodroma homochroa (Coues, 1864)",Oceanodroma homochroa,48C45,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Sarcopterygii|Tetrapoda|Amniota|Aves|Procellariiformes|Hydrobatidae|Hydrobatinae|Oceanodroma|Oceanodroma homochroa,
8,,Phalacrocorax penicillatus,12233,12260,13.09,2,,,,Exact,9.41496,0,"Phalacrocorax penicillatus (Brandt, 1837)",Phalacrocorax penicillatus,4FQQY,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Sarcopterygii|Tetrapoda|Amniota|Aves|Suliformes|Phalacrocoracidae|Phalacrocorax|Phalacrocorax penicillatus,
9,,Zalophus californianus,12653,12677,11.27,2,,,,Exact,9.41496,0,"Zalophus californianus (Lesson, 1828)",Zalophus californianus,5CV54,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Otariidae|Zalophus|Zalophus californianus,
