Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Amphipoda,13537,13547,4.14,1,,,,Exact,9.41496,0,"Amphipoda Latreille, 1816",Amphipoda,BMGVN,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda,
1,,Balanus,491,498,5.10,1,,,,Exact,9.41461,0,"Balanus Distant, 1918",Balanus,8R3Y5,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Hemiptera|Cicadomorpha|Membracoidea|Cicadellidae|Deltocephalinae|Scaphoideini|Scaphoideus|Scaphoideus,
2,,Barleeia haliotiphila,6260,6281,10.95,2,,,,Exact,9.41496,0,"Barleeia haliotiphila P. P. Carpenter, 1864",Barleeia haliotiphila,KRG8,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Littorinimorpha|Rissooidea|Barleeiidae|Barleeia|Barleeia haliotiphila,
3,,Beaufortia,14557,14567,4.59,1,,,,Exact,9.41461,0,Beaufortia R.Br.,Beaufortia,5T6HJ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae|Myrtoideae|Melaleuca,
4,,Eiisemann -���tricolia pulloides,13433,13467,6.19,3,,,,NoMatch,0.0,,,,,,,,
5,,Endocladia muricata-balanus glandula,14479,14515,13.56,3,,,,PartialExact,8.65558,0,"Endocladia J.Agardh, 1841",Endocladia,4BM2,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Florideophyceae|Gigartinales|Endocladiaceae|Endocladia,
6,,G. papillata,1051,1064,7.85,2,,,,NoMatch,0.0,,,,,,,,
7,,Gigartina papillata,132,152,12.35,2,,,,Exact,9.41391,0,Gigartina papillata (C.Agardh) J.Agardh,Gigartina papillata,12734,195,AlgaeBase,Rhodophyta|Florideophyceae|Gigartinales|Phyllophoraceae|Mastocarpus|Mastocarpus papillatus,
8,,Isopoda,13524,13532,4.05,1,,,,Exact,9.41496,0,"Isopoda Latreille, 1816",Isopoda,B8TXF,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Isopoda,
9,,Lasaea cistula,11588,11603,11.03,2,,,,Exact,9.41496,0,"Lasaea cistula Keen, 1938",Lasaea cistula,3SBT4,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Heteroconchia|Euheterodonta|Imparidentia|Galeommatida|Galeommatoidea|Lasaeidae|Lasaea|Lasaea cistula,
10,,Nematoda,5989,5997,3.69,1,,,,Exact,9.41426,0,"Nematoda Cobb, 1932",Nematoda,urn:lsid:irmng.org:taxname:177,181,IRMNG,Biota|Animalia|Nematoda,
11,,Ostracoda,13503,13513,4.69,1,,,,Exact,9.41496,0,"Ostracoda Latreille, 1802",Ostracoda,B8TXJ,1,Catalogue of Life,Biota|Animalia|Arthropoda|Ostracoda,
12,,Papillata,18115,18124,4.16,1,,,,Exact,9.41418,0,Hypnum sect. Papillata Sull.,Papillata,35101497,165,Tropicos,,
13,,Polychaeta,13491,13502,4.62,1,,,,Exact,9.41496,0,"Polychaeta Grube, 1850",Polychaeta,BMGVB,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta,
14,,Popa,18012,18016,2.90,1,,,,Exact,9.41496,0,"Popa Serville, 1839",Popa,8NXTC,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Mantodea|Eumantodea|Schizomantodea|Artimantodea|Cernomantodea|Deroplatyidae|Popinae|Popini|Popa,
15,,Rhodoglossom afine,17802,17820,1.20,2,,,,NoMatch,0.0,,,,,,,,
16,,Rhodoglossum affine,84,104,5.34,2,,,,Exact,9.41391,0,Rhodoglossum affine (Harvey) Kylin,Rhodoglossum affine,16162,195,AlgaeBase,Rhodophyta|Florideophyceae|Gigartinales|Gigartinaceae|Mazzaella|Mazzaella affinis,
17,,Tricolia pulloides,8194,8213,12.13,2,,,,Exact,9.41461,0,"Tricolia pulloides (P. P. Carpenter, 1864)",Tricolia pulloides,937N6,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Trochida|Trochoidea|Phasianellidae|Eulithidium|Eulithidium pulloides,
