Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. limatula,977,989,6.33,2,,,,NoMatch,0.0,,,,,,,,
1,,A. pelta,673,681,4.79,2,,,,NoMatch,0.0,,,,,,,,
2,,A. pelta found,13388,13402,4.02,3,,,,NoMatch,0.0,,,,,,,,
3,,Acmaca pelta,17369,17382,3.12,2,,,,Fuzzy,9.39158,1,"Acmaea (Collisella) pelta (Rathke, 1833)",Acmaea pelta,9CNGN,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Patellogastropoda|Lottioidea|Lottiidae|Lottiinae|Lottiini|Lottia|Lottia pelta,
4,,Acmaea,1501,1507,4.47,1,,,,Exact,9.41496,0,"Acmaea Eschscholtz, 1833",Acmaea,7NMSC,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Patellogastropoda|Lottioidea|Acmaeidae|Acmaea,
5,,Acmaea limatula,6334,6349,11.20,2,,,,Exact,9.41461,0,"Acmaea limatula (P. P. Carpenter, 1864)",Acmaea limatula,9DDV,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Patellogastropoda|Lottioidea|Lottiidae|Lottiinae|Lottiini|Lottia|Lottia limatula,
6,,Acmaea pelta,246,258,9.66,2,,,,Exact,9.41461,0,"Acmaea (Collisella) pelta (Rathke, 1833)",Acmaea pelta,9CNGN,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Patellogastropoda|Lottioidea|Lottiidae|Lottiinae|Lottiini|Lottia|Lottia pelta,
7,,Acmaea pelta here,11505,11522,6.35,3,,,,PartialExact,8.65356,0,"Acmaea (Collisella) pelta (Rathke, 1833)",Acmaea pelta,9CNGN,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Patellogastropoda|Lottioidea|Lottiidae|Lottiinae|Lottiini|Lottia|Lottia pelta,
8,,Acmaea scutum,6368,6381,7.86,2,,,,Exact,9.41461,0,"Acmaea scutum Rathke, 1833",Acmaea scutum,64JNM,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Patellogastropoda|Lottioidea|Lottiidae|Lottiinae|Lottiini|Lottia|Lottia scutum,
9,,Acmeidae,17045,17054,4.40,1,,,,Exact,9.41461,0,"Acmeidae Pollonera, 1905",Acmeidae,BG369,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Architaenioglossa|Cyclophoroidea|Aciculidae,
10,,Balanus glandula,17217,17233,11.83,2,,,,Exact,9.41426,0,Balanus glandula Darwin 1854,Balanus glandula,302463,172,PaleoBioDB,||Cirripedia|Sessilia|Balanus glandula,
11,,Beaufortia,17275,17285,4.59,1,,,,Exact,9.41461,0,Beaufortia R.Br.,Beaufortia,5T6HJ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae|Myrtoideae|Melaleuca,
12,,Cladophora trichotoma,13936,13957,12.34,2,,,,Exact,9.41391,0,Cladophora trichotoma (C.Agardh) Kützing,Cladophora trichotoma,16717,195,AlgaeBase,,
13,,Colpomenia peregrina,14260,14280,11.73,2,,,,Exact,9.41426,0,Colpomenia peregrina Sauv.,Colpomenia peregrina,11426,3,ITIS,Chromista|Chromista|Phaeophyta|Phaeophyceae|Scytosiphonales|Scytosiphonaceae|Colpomenia|Colpomenia peregrina,
14,,Dermatolithon dispar,14099,14119,9.60,2,,,,Exact,9.41391,0,Dermatolithon dispar (Foslie) Foslie,Dermatolithon dispar,16292,195,AlgaeBase,Rhodophyta|Florideophyceae|Corallinales|Lithophyllaceae|Lithophyllum|Lithophyllum dispar,
15,,Dermocarpa,14456,14466,4.41,1,,,,Exact,9.41496,0,"Dermocarpa Crouan & Crouan, 1858",Dermocarpa,43FT,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Cyanobacteria|Cyanophyceae|Chamaesiphonales|Dermocarpaceae|Dermocarpa,
