Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Acmea asmi,14489,14499,6.05,2,,,,Fuzzy,9.39084,1,Acmaea (Collisella) asmi (Middendorff 1847),Acmaea asmi,443605,172,PaleoBioDB,,
1,,Acrochaetium arcuatum,18063,18084,13.31,2,,,,Exact,9.41426,0,Acrochaetium arcuatum (Drew) Tseng,Acrochaetium arcuatum,11629,3,ITIS,Plantae|Biliphyta|Rhodophyta|Eurhodophytina|Florideophyceae|Nemaliophycidae|Acrochaetiales|Acrochaetiaceae|Acrochaetium|Acrochaetium arcuatum,
2,,Apiculata,20114,20123,4.16,1,,,,Exact,9.41418,0,Clerodendrum subsect. Apiculata Verdc.,Apiculata,50169966,165,Tropicos,,
3,,Bangia,14021,14027,3.46,1,,,,Exact,9.41496,0,"Bangia Lyngbye, 1819",Bangia,62FCD,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Bangiophyceae|Bangiales|Bangiaceae|Bangia,
4,,Bangia fuscopurpurea,14311,14331,10.72,2,,,,Exact,9.41426,0,Bangia fuscopurpurea (Dillwyn) Lyngbye,Bangia fuscopurpurea,13319,195,AlgaeBase,Rhodophyta|Bangiophyceae|Bangiales|Bangiaceae|Bangia|Bangia fuscopurpurea,
5,,Bangiophycidae,14267,14281,5.13,1,,,,Exact,9.41426,0,"Bangiophycidae A. Wettstein, 1901",Bangiophycidae,urn:lsid:marinespecies.org:taxname:856,9,WoRMS,,
6,,Barleeia haliotiphila,14672,14693,10.95,2,,,,Exact,9.41496,0,"Barleeia haliotiphila P. P. Carpenter, 1864",Barleeia haliotiphila,KRG8,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Littorinimorpha|Rissooidea|Barleeiidae|Barleeia|Barleeia haliotiphila,
7,,C. limatula,8603,8615,6.33,2,,,,NoMatch,0.0,,,,,,,,
8,,Chaetophoraceae,1666,1682,5.06,1,,,,Exact,9.41496,0,"Chaetophoraceae Greville, 1824",Chaetophoraceae,7YV,1,Catalogue of Life,Biota|Plantae|Chlorophyta|Chlorophytina|Chlorophyceae|Chaetophorales|Chaetophoraceae,
9,,Chlorophyta,16145,16159,3.96,1,,,,Exact,9.41426,0,Chlorophyta Pascher,Chlorophyta,100364596,165,Tropicos,,
