Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. xanthogrammica,12800,12817,7.64,2,,,,NoMatch,0.0,,,,,,,,
1,,Acanthina punctulata,21962,21982,12.44,2,,,,Exact,9.41461,0,"Acanthina punctulata (J. E. Gray, 1835)",Acanthina punctulata,8TPX,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Neogastropoda|Muricoidea|Muricidae|Ocenebrinae|Acanthinucella|Acanthinucella punctulata,
2,,Acmea mitra,36325,36336,4.41,2,,,,Exact,9.41391,0,Acmea mitra (Eschscholtz 1833),Acmea mitra,442726,172,PaleoBioDB,||Gastropoda|Patellogastropoda|Acmaea mitra,
3,,Amphipholis pugetana,14141,14162,13.19,2,,,,Exact,9.41496,0,"Amphipholis pugetana (Lyman, 1860)",Amphipholis pugetana,66FWX,1,Catalogue of Life,Biota|Animalia|Echinodermata|Asterozoa|Ophiuroidea|Myophiuroida|Metophiurida|Ophintegrida|Amphilepidida|Gnathophiurina|Amphiuroidea|Amphiuridae|Amphipholis|Amphipholis pugetana,
4,,Amphissa versicolor,20733,20752,7.69,2,,,,Exact,9.41496,0,"Amphissa versicolor Dall, 1871",Amphissa versicolor,D5ZP,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Neogastropoda|Buccinoidea|Columbellidae|Amphissa|Amphissa versicolor,
5,,Anthopleura elegantissima,12770,12795,8.86,2,,,,Exact,9.41496,0,"Anthopleura elegantissima (Brandt, 1835)",Anthopleura elegantissima,67FKB,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Actinioidea|Actiniidae|Anthopleura|Anthopleura elegantissima,
6,,Anthopleura xanthogrammica,23938,23965,13.40,2,,,,Exact,9.41496,0,"Anthopleura xanthogrammica (Brandt, 1835)",Anthopleura xanthogrammica,5VFKG,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Actinioidea|Actiniidae|Anthopleura|Anthopleura xanthogrammica,
7,,Arabella iricolor,36358,36375,11.56,2,,,,Exact,9.41496,0,"Arabella iricolor (Montagu, 1804)",Arabella iricolor,G237,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Eunicida|Oenonidae|Arabella|Arabella iricolor,
8,,Balanus,16634,16642,5.10,1,,,,Exact,9.41461,0,"Balanus Distant, 1918",Balanus,8R3Y5,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Hemiptera|Cicadomorpha|Membracoidea|Cicadellidae|Deltocephalinae|Scaphoideini|Scaphoideus|Scaphoideus,
9,,Bittium eschrichtii,20791,20811,12.21,2,,,,Exact,9.41461,0,"Bittium eschrichtii (Middendorff, 1849)",Bittium eschrichtii,LXX6,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Cerithioidea|Cerithiidae|Bittiinae|Neostylidium|Neostylidium eschrichtii,
10,,C. dalli,22934,22943,5.29,2,,,,NoMatch,0.0,,,,,,,,
11,,C. fissus,22920,22929,6.49,2,,,,NoMatch,0.0,,,,,,,,
12,,Chthamalus,22429,22439,5.53,1,,,,Exact,9.41426,0,Chthamalus Ranzani 1817,Chthamalus,41287,205,Nomenclator Zoologicus,,
13,,Clavelina huntsmanii,36745,36765,6.66,2,,,,Fuzzy,9.39194,1,"Clavelina huntsmani Van Name, 1931",Clavelina huntsmani,5Z9G3,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Clavelinidae|Clavelina|Clavelina huntsmani,
14,,Corynactis californicus,24056,24080,12.22,2,,,,Fuzzy,9.36764,2,"Corynactis californica Carlgren, 1936",Corynactis californica,YQK8,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Corallimorpharia|Corallimorphidae|Corynactis|Corynactis californica,
15,,Crepidula,19772,19781,5.46,1,,,,Exact,9.41496,0,"Crepidula Lamarck, 1799",Crepidula,7NTS3,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Littorinimorpha|Calyptraeoidea|Calyptraeidae|Crepidula,
16,,Crepidula adunca,19571,19587,10.83,2,,,,Exact,9.41496,0,"Crepidula adunca G. B. Sowerby I, 1825",Crepidula adunca,6BFWZ,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Littorinimorpha|Calyptraeoidea|Calyptraeidae|Crepidula|Crepidula adunca,
