Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Acontiarian anemones,12940,12961,0.70,2,,,,NoMatch,0.0,,,,,,,,
1,,Anthopleura,2408,2420,5.36,1,,,,Exact,9.41496,0,"Anthopleura Duchassaing de Fonbressin & Michelotti, 1860",Anthopleura,7NP8T,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Actinioidea|Actiniidae|Anthopleura,
2,,Anthopleura elegantissima,169,194,8.86,2,,,,Exact,9.41496,0,"Anthopleura elegantissima (Brandt, 1835)",Anthopleura elegantissima,67FKB,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Actinioidea|Actiniidae|Anthopleura|Anthopleura elegantissima,
3,,Diadumenidae,779,792,5.13,1,,,,Exact,9.41496,0,"Diadumenidae Stephenson, 1920",Diadumenidae,7NH6C,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Metridioidea|Diadumenidae,
4,,Gonactinia prolifera,6927,6948,11.50,2,,,,Exact,9.41496,0,"Gonactinia prolifera (Sars, 1835)",Gonactinia prolifera,3GTTP,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Metridioidea|Gonactiniidae|Gonactinia|Gonactinia prolifera,
5,,Haliplanella,14022,14035,5.59,1,,,,Exact,9.41496,0,"Haliplanella Hand, 1956",Haliplanella,7P56W,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Metridioidea|Haliplanellidae|Haliplanella,
6,,Haliplanella luciae,14137,14156,12.29,2,,,,Exact,9.41461,0,"Haliplanella luciae (Verrill, 1898)",Haliplanella luciae,6KZ33,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Metridioidea|Diadumenidae|Diadumene|Diadumene lineata,
7,,Haliplanellidae,856,871,5.63,1,,,,Exact,9.41496,0,"Haliplanellidae Hand, 1956",Haliplanellidae,BDZFG,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Metridioidea|Haliplanellidae,
8,,Metridiidae,806,818,4.92,1,,,,Exact,9.41496,0,"Metridiidae Carlgren, 1893",Metridiidae,7NJS6,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Metridioidea|Metridiidae,
9,,Metridium,893,902,5.42,1,,,,Exact,9.41496,0,"Metridium de Blainville, 1824",Metridium,7PHMZ,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Metridioidea|Metridiidae|Metridium,
10,,Metridium contract,4078,4096,5.26,2,,,,PartialExact,8.65558,0,"Metridium de Blainville, 1824",Metridium,7PHMZ,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Metridioidea|Metridiidae|Metridium,
11,,Metridium senile,69,85,6.55,2,,,,Exact,9.41496,0,"Metridium senile (Linnaeus, 1761)",Metridium senile,42J2K,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Metridioidea|Metridiidae|Metridium|Metridium senile,
12,,Sagartiidae,793,805,5.47,1,,,,Exact,9.41496,0,"Sagartiidae Gosse, 1858",Sagartiidae,7NKX4,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Metridioidea|Sagartiidae,
13,,Sagartiomorphidae,833,851,5.40,1,,,,Exact,9.41496,0,"Sagartiomorphidae Carlgren, 1934",Sagartiomorphidae,7NKX5,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Metridioidea|Sagartiomorphidae,
