Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Angwille rostrata,24569,24586,4.29,2,,,,NoMatch,0.0,,,,,,,,
1,,Colias,3170,3176,4.28,1,,,,Exact,9.41426,0,Colias Fabricius 1807,Colias,44907,205,Nomenclator Zoologicus,,
2,,Ftilus edulis,2485,2498,6.84,2,,,,NoMatch,0.0,,,,,,,,
3,,Fundulus beterochitus,2555,2576,8.27,2,,,,PartialExact,8.65154,0,"Fundulus Lacepède, 1803",Fundulus,165644,3,ITIS,Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Acanthopterygii|Cyprinodontiformes|Cyprinodontoidei|Fundulidae|Fundulus,
4,,Fundulus heteractitus,23546,23567,8.27,2,,,,PartialExact,8.65154,0,"Fundulus Lacepède, 1803",Fundulus,165644,3,ITIS,Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Acanthopterygii|Cyprinodontiformes|Cyprinodontoidei|Fundulidae|Fundulus,
5,,Grylebius pictus,22314,22330,7.04,2,,,,NoMatch,0.0,,,,,,,,
6,,Gylebius pictus,5431,5446,6.59,2,,,,NoMatch,0.0,,,,,,,,
7,,Hytils edulia,22839,22852,4.34,2,,,,NoMatch,0.0,,,,,,,,
8,,Mytilus califernienus,23023,23044,7.72,2,,,,PartialExact,8.65558,0,"Mytilus Linnaeus, 1758",Mytilus,7P9G3,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Mytilida|Mytiloidea|Mytilidae|Mytilinae|Mytilus,
9,,Prosobranchia,22507,22522,5.10,1,,,,Exact,9.41426,0,"Prosobranchia Milne Edwards, 1848",Prosobranchia,urn:lsid:marinespecies.org:taxname:102,9,WoRMS,,
