Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Botryllus schlosseri,4692,4712,13.40,2,,,,Exact,9.41496,0,"Botryllus schlosseri (Pallas, 1766)",Botryllus schlosseri,MPRR,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Stolidobranchia|Styelidae|Botryllus|Botryllus schlosseri,
1,,Brachiostoma lanceolatum,109,133,13.86,2,,,,Exact,9.41321,0,"Brachiostoma lanceolatum (Pallas, 1774)",Brachiostoma lanceolatum,7841105,11,GBIF Backbone Taxonomy,Animalia|Chordata|Leptocardii|Branchiostomatidae|Branchiostoma|Branchiostoma lanceolatum,
2,,Branchiostoma lanceolatum,21888,21914,13.55,2,,,,Exact,9.41496,0,"Branchiostoma lanceolatum (Pallas, 1774)",Branchiostoma lanceolatum,N6S2,1,Catalogue of Life,Biota|Animalia|Chordata|Cephalochordata|Leptocardii|Branchiostomatidae|Branchiostoma|Branchiostoma lanceolatum,
3,,Drosophila,19544,19554,4.89,1,,,,Exact,9.41426,0,Drosophila Fallén 1823,Drosophila,62960,205,Nomenclator Zoologicus,,
4,,Drosophila melanogaster,23541,23565,9.57,2,,,,Exact,9.41496,0,"Drosophila (Sophophora) melanogaster Meigen, 1830",Drosophila melanogaster,8BXCZ,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophila|Sophophora|Drosophila melanogaster,
5,,Echerichia coli,9829,9844,4.10,2,,,,Fuzzy,9.39194,1,"Escherichia coli (Migula, 1895) Castellani & Chalmers, 1919",Escherichia coli,3BGTD,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Escherichia|Escherichia coli,
6,,Kona,7273,7279,3.46,1,,,,Exact,9.41461,0,"Kona Dall, Bartsch & Rehder, 1938",Kona,BGH89,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Heteroconchia|Euheterodonta|Imparidentia|Galeommatida|Galeommatoidea|Lasaeidae|Montacutinae|Thecodonta,
7,,Makaira nigricans,5077,5094,10.23,2,,,,Exact,9.41496,0,"Makaira nigricans Lacepède, 1802",Makaira nigricans,3XJWZ,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Perciformes|Istiophoridae|Makaira|Makaira nigricans,
8,,Mus musculus,13838,13853,7.72,2,,,,Exact,9.41496,0,"Mus (Mus) musculus Linnaeus, 1758",Mus musculus,7VW9H,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Sarcopterygii|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Rodentia|Myomorpha|Muroidea|Muridae|Murinae|Mus|Mus|Mus musculus,
9,,Mustelus californicus,150,171,12.78,2,,,,Exact,9.41496,0,"Mustelus californicus Gill, 1864",Mustelus californicus,44QZT,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Chondrichthyes|Elasmobranchii|Carcharhiniformes|Triakidae|Mustelus|Mustelus californicus,
10,,Myxine glutinosa,4660,4676,9.84,2,,,,Exact,9.41496,0,"Myxine glutinosa Linnaeus, 1758",Myxine glutinosa,45H8K,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Agnatha|Cyclostomi|Myxini|Myxiniformes|Myxinidae|Myxine|Myxine glutinosa,
