Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Anthopleura xanthogrammica,1868,1894,13.40,2,,,,Exact,9.41496,0,"Anthopleura xanthogrammica (Brandt, 1835)",Anthopleura xanthogrammica,5VFKG,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Actinioidea|Actiniidae|Anthopleura|Anthopleura xanthogrammica,
1,,Botryocladia pseudodichotoma,6511,6539,11.85,2,,,,Exact,9.41426,0,Botryocladia pseudodichotoma (Farlow) Kylin,Botryocladia pseudodichotoma,4919,195,AlgaeBase,Rhodophyta|Florideophyceae|Rhodymeniales|Rhodymeniaceae|Botryocladia|Botryocladia pseudodichotoma,
2,,Botryoglossum farlowianum,6463,6488,12.88,2,,,,Exact,9.41391,0,Botryoglossum farlowianum (J.Agardh) De Toni,Botryoglossum farlowianum,16373,195,AlgaeBase,Rhodophyta|Florideophyceae|Ceramiales|Delesseriaceae|Cryptopleura|Cryptopleura ruprechtiana,
3,,Cladophora trichotoma,4858,4879,12.34,2,,,,Exact,9.41391,0,Cladophora trichotoma (C.Agardh) Kützing,Cladophora trichotoma,16717,195,AlgaeBase,,
4,,Corallina,4744,4753,4.10,1,,,,Exact,9.41496,0,"Corallina Linnaeus, 1758",Corallina,3TWC,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Florideophyceae|Corallinales|Corallinaceae|Corallina,
5,,Dodecaceria,1714,1725,4.96,1,,,,Exact,9.41496,0,"Dodecaceria Örsted, 1843",Dodecaceria,84N9Q,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Terebellida|Cirratuliformia|Cirratulidae|Dodecaceria,
6,,Dodecaceria beds,1610,1626,4.27,2,,,,PartialExact,8.65558,0,"Dodecaceria Örsted, 1843",Dodecaceria,84N9Q,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Terebellida|Cirratuliformia|Cirratulidae|Dodecaceria,
7,,Dodecaceria fistulicola,1346,1369,12.59,2,,,,Exact,9.41496,0,"Dodecaceria fistulicola Ehlers, 1901",Dodecaceria fistulicola,373FY,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Terebellida|Cirratuliformia|Cirratulidae|Dodecaceria|Dodecaceria fistulicola,
8,,Endocladia muricata,4794,4813,12.48,2,,,,Exact,9.41426,0,Endocladia muricata (Endlicher) J.Agardh,Endocladia muricata,4954,195,AlgaeBase,Rhodophyta|Florideophyceae|Gigartinales|Endocladiaceae|Endocladia|Endocladia muricata,
9,,Entophysalis deusta,7799,7818,11.99,2,,,,Exact,9.41426,0,Entophysalis deusta (Meneghini) F.E.Drouet & W.A.Daily,Entophysalis deusta,23752,195,AlgaeBase,Cyanobacteria|Cyanophyceae|Chroococcales|Entophysalidaceae|Entophysalis|Entophysalis deusta,
