Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Acanthina punctulata,16610,16631,12.44,2,,,,Exact,9.41461,0,"Acanthina punctulata (J. E. Gray, 1835)",Acanthina punctulata,8TPX,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Neogastropoda|Muricoidea|Muricidae|Ocenebrinae|Acanthinucella|Acanthinucella punctulata,
1,,Astaea gibberosa,22074,22090,6.86,2,,,,Fuzzy,9.39084,1,Astraea (Pomaulax) gibberosa (Dillwyn 1817),Astraea gibberosa,314900,172,PaleoBioDB,,
2,,Astiea gibberosa,19864,19880,5.63,2,,,,NoMatch,0.0,,,,,,,,
3,,Astraea,8018,8025,4.55,1,,,,Exact,9.41496,0,"Astraea Röding, 1798",Astraea,7NPXZ,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Trochida|Trochoidea|Turbinidae|Turbininae|Astraea,
4,,Astraea gibberosa,6090,6109,12.37,2,,,,Exact,9.41391,0,Astraea (Pomaulax) gibberosa (Dillwyn 1817),Astraea gibberosa,314900,172,PaleoBioDB,,
5,,Balanus,796,803,5.10,1,,,,Exact,9.41461,0,"Balanus Distant, 1918",Balanus,8R3Y5,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Hemiptera|Cicadomorpha|Membracoidea|Cicadellidae|Deltocephalinae|Scaphoideini|Scaphoideus|Scaphoideus,
6,,Calliostoma,5972,5984,5.64,1,,,,Exact,9.41496,0,"Calliostoma Swainson, 1840",Calliostoma,7NRL5,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Trochida|Trochoidea|Calliostomatidae|Calliostomatinae|Calliostoma,
7,,Calliostoma ligatum,5888,5908,13.07,2,,,,Exact,9.41496,0,"Calliostoma ligatum (A. Gould, 1849)",Calliostoma ligatum,68VVQ,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Trochida|Trochoidea|Calliostomatidae|Calliostomatinae|Calliostoma|Calliostoma ligatum,
8,,Callipstoma ligatum,21994,22013,7.64,2,,,,Fuzzy,9.39194,1,"Calliostoma ligatum (A. Gould, 1849)",Calliostoma ligatum,68VVQ,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Trochida|Trochoidea|Calliostomatidae|Calliostomatinae|Calliostoma|Calliostoma ligatum,
9,,Ceratostoma,8030,8041,5.64,1,,,,Exact,9.41496,0,"Ceratostoma Herrmannsen, 1846",Ceratostoma,7NSBM,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Neogastropoda|Muricoidea|Muricidae|Ocenebrinae|Ceratostoma,
