Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Batallaria attramentaria,90,114,6.78,2,,,,Fuzzy,9.39194,1,"Batillaria attramentaria (G. B. Sowerby II, 1855)",Batillaria attramentaria,KYS5,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Cerithioidea|Batillariidae|Batillaria|Batillaria attramentaria,
1,,Callianassidae,7518,7534,5.13,1,,,,Exact,9.41496,0,"Callianassidae Dana, 1852",Callianassidae,BMH4Y,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Axiidea|Callianassidae,
2,,Clinocottus analis,7246,7264,12.89,2,,,,Exact,9.41496,0,"Clinocottus analis (Girard, 1858)",Clinocottus analis,W6D6,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Scorpaeniformes|Cottidae|Clinocottus|Clinocottus analis,
3,,Gasterosteus aculeatus,991,1014,13.07,2,,,,Exact,9.41496,0,"Gasterosteus aculeatus Linnaeus, 1758",Gasterosteus aculeatus,3FCKT,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Gasterosteiformes|Gasterosteidae|Gasterosteus|Gasterosteus aculeatus,
4,,Gasterosteus aculeatus may,11959,11985,10.22,3,,,,PartialExact,8.65558,0,"Gasterosteus aculeatus Linnaeus, 1758",Gasterosteus aculeatus,3FCKT,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Gasterosteiformes|Gasterosteidae|Gasterosteus|Gasterosteus aculeatus,
5,,Gillichthys mirabilis,272,294,9.06,2,,,,Exact,9.41496,0,"Gillichthys mirabilis Cooper, 1864",Gillichthys mirabilis,3G33W,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Perciformes|Gobiidae|Gillichthys|Gillichthys mirabilis,
6,,Grapsidae,7562,7574,4.85,1,,,,Exact,9.41496,0,"Grapsidae MacLeay, 1838",Grapsidae,7NHQ8,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Brachyura|Eubrachyura|Thoracotremata|Grapsoidea|Grapsidae,
7,,Hermissenda crassicornis,7447,7471,12.05,2,,,,Exact,9.41496,0,"Hermissenda crassicornis (Eschscholtz, 1831)",Hermissenda crassicornis,3L2BH,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Ringipleura|Nudipleura|Nudibranchia|Cladobranchia|Aeolidioidea|Myrrhinidae|Hermissenda|Hermissenda crassicornis,
8,,Heterophyidae,12824,12839,5.66,1,,,,Exact,9.41496,0,"Heterophyidae Leiper, 1909",Heterophyidae,7NHT8,1,Catalogue of Life,Biota|Animalia|Platyhelminthes|Rhabditophora|Trematoda|Digenea|Plagiorchiida|Opisthorchiata|Opisthorchioidea|Heterophyidae,
9,,Opisthobranchia,7472,7490,5.61,1,,,,Exact,9.41356,0,Opisthobranchia P. Fischer 1883,Opisthobranchia,E0706F03123DFFB0FF54FAADFA37F98E,194,Plazi,,
10,,Pachygrapsus crassipes,7539,7561,10.23,2,,,,Exact,9.41496,0,"Pachygrapsus crassipes Randall, 1840",Pachygrapsus crassipes,4BSBZ,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Brachyura|Eubrachyura|Thoracotremata|Grapsoidea|Grapsidae|Pachygrapsus|Pachygrapsus crassipes,
11,,Parasitictodora hancocki,8804,8828,6.94,2,,,,Fuzzy,9.39158,1,"Parastictodora hancocki Martin, 1950",Parastictodora hancocki,4DDLD,1,Catalogue of Life,Biota|Animalia|Platyhelminthes|Rhabditophora|Trematoda|Digenea|Plagiorchiida|Opisthorchiata|Opisthorchioidea|Heterophyidae|Acanthotrema|Acanthotrema hancocki,
12,,Stictodora tridactyla,8847,8868,11.94,2,,,,Exact,9.41461,0,"Stictodora tridactyla Martin & Kuntz, 1955",Stictodora tridactyla,52K4Q,1,Catalogue of Life,Biota|Animalia|Platyhelminthes|Rhabditophora|Trematoda|Digenea|Plagiorchiida|Opisthorchiata|Opisthorchioidea|Heterophyidae|Acanthotrema|Acanthotrema tridactyla,
13,,Trematoda,12812,12823,4.69,1,,,,Exact,9.41391,0,"Trematoda Rudolphi, 1808",Trematoda,54556,3,ITIS,Animalia|Bilateria|Protostomia|Spiralia|Platyhelminthes|Rhabditophora|Trepaxonemata|Euneoophora|Acentrosomata|Bothrioneodermata|Neodermata,
