Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Atherinos affinis,14490,14507,5.97,2,,,,Fuzzy,9.39194,1,"Atherinops affinis (Ayres, 1860)",Atherinops affinis,6899P,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Atheriniformes|Atherinopsidae|Atherinops|Atherinops affinis,
1,,Cancer magister,15390,15405,6.59,2,,,,Exact,9.41461,0,"Cancer magister Dana, 1852",Cancer magister,QKD4,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Brachyura|Eubrachyura|Heterotremata|Cancroidea|Cancridae|Cancrinae|Metacarcinus|Metacarcinus magister,
2,,Crassostrea gigas,221,241,9.63,2,,,,Exact,9.41461,0,"Crassostrea (Magallana) gigas (Thunberg, 1793)",Crassostrea gigas,8RXBS,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Ostreida|Ostreoidea|Ostreidae|Crassostreinae|Magallana|Magallana gigas,
3,,Cymatogaster aggregata,14582,14604,11.32,2,,,,Exact,9.41496,0,"Cymatogaster aggregata Gibbons, 1854",Cymatogaster aggregata,6C74L,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Perciformes|Embiotocidae|Cymatogaster|Cymatogaster aggregata,
4,,Gadus macrocephalus,14112,14131,11.47,2,,,,Exact,9.41496,0,"Gadus macrocephalus Tilesius, 1810",Gadus macrocephalus,6JV2L,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Gadiformes|Gadidae|Gadus|Gadus macrocephalus,
5,,Hinnites multirugosus,4050,4075,9.69,2,,,,Exact,9.41461,0,"Hinnites multirugosus (Gale, 1928)",Hinnites multirugosus,3LYMV,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Pectinida|Pectinoidea|Pectinidae|Pedinae|Crassadomini|Crassadoma|Crassadoma gigantea,
6,,Macoma nasuta,129,145,11.14,2,,,,Exact,9.41496,0,"Macoma nasuta (Conrad, 1837)",Macoma nasuta,3WZWC,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Heteroconchia|Euheterodonta|Imparidentia|Cardiida|Tellinoidea|Tellinidae|Macominae|Macoma|Macoma nasuta,
7,,Mercenaria mercenaria,8918,8939,12.06,2,,,,Exact,9.41496,0,"Mercenaria mercenaria (Linnaeus, 1758)",Mercenaria mercenaria,3ZTFD,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Heteroconchia|Euheterodonta|Imparidentia|Venerida|Veneroidea|Veneridae|Venerinae|Mercenaria|Mercenaria mercenaria,
8,,Mytilus edulis,158,175,12.34,2,,,,Exact,9.41496,0,"Mytilus edulis Linnaeus, 1758",Mytilus edulis,73T5L,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Mytilida|Mytiloidea|Mytilidae|Mytilinae|Mytilus|Mytilus edulis,
9,,Nacoma nasuta,3591,3606,5.71,2,,,,Fuzzy,9.39194,1,"Macoma nasuta (Conrad, 1837)",Macoma nasuta,3WZWC,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Heteroconchia|Euheterodonta|Imparidentia|Cardiida|Tellinoidea|Tellinidae|Macominae|Macoma|Macoma nasuta,
10,,Oncorhynchus tshawytscha,445,471,10.85,2,,,,Exact,9.41496,0,"Oncorhynchus tshawytscha (Walbaum, 1792)",Oncorhynchus tshawytscha,49JFR,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Salmoniformes|Salmonidae|Oncorhynchus|Oncorhynchus tshawytscha,
11,,Ostrea lurida,188,204,10.93,2,,,,Exact,9.41496,0,"Ostrea lurida P. P. Carpenter, 1864",Ostrea lurida,6TCX2,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Ostreida|Ostreoidea|Ostreidae|Ostreinae|Ostrea|Ostrea lurida,
12,,Pandalus jordani,15176,15192,11.60,2,,,,Exact,9.41496,0,"Pandalus jordani M. J. Rathbun, 1902",Pandalus jordani,9CZ4D,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Caridea|Pandaloidea|Pandalidae|Pandalus|Pandalus jordani,
