Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Amphipoda,33672,33681,4.14,1,,,,Exact,9.41496,0,"Amphipoda Latreille, 1816",Amphipoda,BMGVN,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda,
1,,Barleeia,31925,31933,4.12,1,,,,Exact,9.41496,0,"Barleeia W. Clark, 1853",Barleeia,7NQG9,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Littorinimorpha|Rissooidea|Barleeiidae|Barleeia,
2,,Bivalvia,33776,33784,3.94,1,,,,Exact,9.41496,0,"Bivalvia Linnaeus, 1758",Bivalvia,BMGWC,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia,
3,,Brachyura,33728,33737,5.28,1,,,,Exact,9.41496,0,"Brachyura Latreille, 1802",Brachyura,B8WMW,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Brachyura,
4,,Bryozoa,21587,21594,2.20,1,,,,Exact,9.41426,0,"Bryozoa Ehrenberg, 1831",Bryozoa,urn:lsid:irmng.org:taxname:140,181,IRMNG,Biota|Animalia|Bryozoa,
5,,Cancer antennarius,32084,32109,9.79,2,,,,Exact,9.41426,0,"Cancer antennarius Stimpson, 1856",Cancer antennarius,98673,3,ITIS,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata|Brachyura|Cancroidea|Cancridae|Cancer|Cancer antennarius,
6,,Caridea,33685,33692,3.80,1,,,,Exact,9.41496,0,"Caridea Dana, 1852",Caridea,BMJWT,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Caridea,
7,,Cebidichthys violaceus,5600,5622,12.38,2,,,,Exact,9.41496,0,"Cebidichthys violaceus (Girard, 1854)",Cebidichthys violaceus,RYW9,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Perciformes|Stichaeidae|Cebidichthys|Cebidichthys violaceus,
8,,Clinocottus analis,5355,5373,12.89,2,,,,Exact,9.41496,0,"Clinocottus analis (Girard, 1858)",Clinocottus analis,W6D6,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Scorpaeniformes|Cottidae|Clinocottus|Clinocottus analis,
9,,Collisella digitalis,14563,14583,9.39,2,,,,Exact,9.41461,0,"Collisella digitalis (Rathke, 1833)",Collisella digitalis,5ZLL7,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Patellogastropoda|Lottioidea|Lottiidae|Lottiinae|Lottiini|Lottia|Lottia digitalis,
10,,Collisella limatula,31954,31973,11.96,2,,,,Exact,9.41391,0,Collisella limatula (Carpenter 1864),Collisella limatula,444463,172,PaleoBioDB,,
11,,Collisella scabra,14541,14558,11.36,2,,,,Exact,9.41461,0,"Collisella scabra (A. Gould, 1846)",Collisella scabra,X4FC,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Patellogastropoda|Lottioidea|Lottiidae|Lottiinae|Lottiini|Lottia|Lottia scabra,
