Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Abcde ravisia gigas,15327,15346,0.31,3,,,,NoMatch,0.0,,,,,,,,
1,,Acuta,15794,15799,3.31,1,,,,Exact,9.41496,0,"Acuta Stejskal, 1965",Acuta,NV3,1,Catalogue of Life,Biota|Chromista|Miozoa|Eugregarinida|Acutidae|Acuta,
2,,C. spirabrancha,5472,5487,6.43,2,,,,NoMatch,0.0,,,,,,,,
3,,Californiensis,15911,15925,3.93,1,,,,Exact,9.41145,0,Californiensis,Californiensis,100880,183,Sherborn Index Animalium,,
4,,Ceuzonus dillonensis,15282,15302,6.84,2,,,,NoMatch,0.0,,,,,,,,
5,,Cirriformia,16924,16935,5.20,1,,,,Exact,9.41496,0,"Cirriformia Hartman, 1936",Cirriformia,84MDG,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Terebellida|Cirratuliformia|Cirratulidae|Cirriformia,
6,,Cirriformia spirabrancha,1892,1916,12.03,2,,,,Exact,9.41496,0,"Cirriformia spirabrancha (Moore, 1904)",Cirriformia spirabrancha,VGZK,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Terebellida|Cirratuliformia|Cirratulidae|Cirriformia|Cirriformia spirabrancha,
7,,D�euzonus mucronata,15303,15322,8.64,2,,,,NoMatch,0.0,,,,,,,,
8,,E. dillonensis,5353,5367,6.58,2,,,,NoMatch,0.0,,,,,,,,
9,,E. mucronata,4680,4692,7.85,2,,,,NoMatch,0.0,,,,,,,,
10,,Euzonus,16207,16214,5.10,1,,,,Exact,9.41496,0,"Euzonus Menge, 1854",Euzonus,7NZYB,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Eugnatha|Nematophora|Chordeumatida|Chordeumatidea|Euzonus,
11,,Euzonus dillonensis,1929,1948,12.08,2,,,,Exact,9.41461,0,"Euzonus (Euzonus) dillonensis (Hartman, 1938)",Euzonus dillonensis,3DG49,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Scolecida|Opheliidae|Opheliinae|Thoracophelia|Thoracophelia dillonensis,
12,,Euzonus mucronata,1963,1980,13.35,2,,,,Exact,9.41461,0,"Euzonus (Thoracophelia) mucronata (Treadwell, 1914)",Euzonus mucronata,3DG4C,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Scolecida|Opheliidae|Opheliinae|Thoracophelia|Thoracophelia mucronata,
13,,Mucronata,15870,15880,4.16,1,,,,Exact,9.41418,0,Tropaeolum sect. Mucronata Sparre,Mucronata,312294-2,167,IPNI,,
14,,N. acuta,4667,4675,5.41,2,,,,NoMatch,0.0,,,,,,,,
15,,N. californiensis,3448,3465,6.58,2,,,,NoMatch,0.0,,,,,,,,
16,,N. californiensis dillonensis,12578,12607,13.22,3,,,,NoMatch,0.0,,,,,,,,
17,,Nephtys,15903,15910,3.44,1,,,,Exact,9.41496,0,"Nephtys Cuvier, 1817",Nephtys,84QY8,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Phyllodocida|Nephtyidae|Nephtys,
18,,Nephtys californiensis,1997,2019,10.42,2,,,,Exact,9.41496,0,"Nephtys californiensis Hartman, 1938",Nephtys californiensis,472YQ,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Phyllodocida|Nephtyidae|Nephtys|Nephtys californiensis,
19,,Nereis diversicolor,431,450,11.04,2,,,,Exact,9.41461,0,"Nereis diversicolor Müller, 1776",Nereis diversicolor,BVQ94,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Phyllodocida|Nereidiformia|Nereididae|Nereidinae|Hediste|Hediste diversicolor,
20,,Nerinides,16908,16917,3.79,1,,,,Exact,9.41496,0,"Nerinides Mesnil, 1896",Nerinides,BFFY8,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Spionida|Spioniformia|Spionidae|Nerinides,
21,,Nerinides acuta,2034,2049,9.60,2,,,,Exact,9.41461,0,"Nerinides acuta (Treadwell, 1914)",Nerinides acuta,4754W,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Spionida|Spioniformia|Spionidae|Scolelepis|Scolelepis|Scolelepis acuta,
22,,Nerinides acuta californiensis,15360,15391,16.22,3,,,,PartialExact,8.65356,0,"Nerinides acuta (Treadwell, 1914)",Nerinides acuta,4754W,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Spionida|Spioniformia|Spionidae|Scolelepis|Scolelepis|Scolelepis acuta,
23,,T. gigas,4262,4270,4.31,2,,,,NoMatch,0.0,,,,,,,,
24,,Travisia,17638,17646,3.24,1,,,,Exact,9.41496,0,"Travisia Johnston, 1840",Travisia,84VCP,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Scolecida|Travisiidae|Travisia,
25,,Travisia gigas,2066,2080,7.95,2,,,,Exact,9.41496,0,"Travisia gigas Hartman, 1938",Travisia gigas,57YL7,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Scolecida|Travisiidae|Travisia|Travisia gigas,
