Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Balanus glandula,5710,5727,11.83,2,,,,Exact,9.41426,0,Balanus glandula Darwin 1854,Balanus glandula,302463,172,PaleoBioDB,||Cirripedia|Sessilia|Balanus glandula,
1,,Chihamalus,11279,11290,5.53,1,,,,NoMatch,0.0,,,,,,,,
2,,Chihamalus zone,5591,5607,4.40,2,,,,NoMatch,0.0,,,,,,,,
3,,Chthamalus,288,298,5.53,1,,,,Exact,9.41426,0,Chthamalus Ranzani 1817,Chthamalus,41287,205,Nomenclator Zoologicus,,
4,,Chthamalus zone,8436,8451,4.40,2,,,,PartialExact,8.65154,0,Chthamalus Ranzani 1817,Chthamalus,41287,205,Nomenclator Zoologicus,,
5,,Jessica,18628,18635,1.68,1,,,,Exact,9.41426,0,"Jessica Brescovit, 1997",Jessica,872301,3,ITIS,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Chelicerata|Euchelicerata|Arachnida|Araneae|Anyphaenidae|Jessica,
6,,L. paradigitalis,22778,22794,7.79,2,,,,NoMatch,0.0,,,,,,,,
7,,Lotia paradigialis,10534,10553,6.64,2,,,,PartialExact,8.65154,0,Lotia Monterosato 1872,Lotia,110511,205,Nomenclator Zoologicus,,
8,,Lotia paradigitalis,5416,5438,11.84,2,,,,Fuzzy,9.39194,1,"Lottia paradigitalis (Fritchman, 1960)",Lottia paradigitalis,3W7WN,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Patellogastropoda|Lottioidea|Lottiidae|Lottiinae|Lottiini|Lottia|Lottia paradigitalis,
9,,Lottia paradigitalis,5793,5814,12.13,2,,,,Exact,9.41496,0,"Lottia paradigitalis (Fritchman, 1960)",Lottia paradigitalis,3W7WN,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Patellogastropoda|Lottioidea|Lottiidae|Lottiinae|Lottiini|Lottia|Lottia paradigitalis,
10,,M. scabra,11813,11822,5.73,2,,,,NoMatch,0.0,,,,,,,,
11,,Macclintockia scabra,5766,5788,11.13,2,,,,Exact,9.41461,0,"Macclintockia scabra (A. Gould, 1846)",Macclintockia scabra,3WXQB,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Patellogastropoda|Lottioidea|Lottiidae|Lottiinae|Lottiini|Lottia|Lottia scabra,
12,,Mytilus,20605,20612,4.96,1,,,,Exact,9.41496,0,"Mytilus Linnaeus, 1758",Mytilus,7P9G3,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Mytilida|Mytiloidea|Mytilidae|Mytilinae|Mytilus,
13,,Mytilus californianus,10013,10034,12.79,2,,,,Exact,9.41496,0,"Mytilus californianus Conrad, 1837",Mytilus californianus,45GKH,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Mytilida|Mytiloidea|Mytilidae|Mytilinae|Mytilus|Mytilus californianus,
14,,N. emarginata,3499,3513,7.94,2,,,,NoMatch,0.0,,,,,,,,
15,,Nucella,15295,15303,4.66,1,,,,Exact,9.41496,0,"Nucella Röding, 1798",Nucella,7PB22,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Neogastropoda|Muricoidea|Muricidae|Ocenebrinae|Nucella,
16,,Nucella emarginata,3289,3308,13.00,2,,,,Exact,9.41496,0,"Nucella emarginata (Deshayes, 1839)",Nucella emarginata,482KN,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Neogastropoda|Muricoidea|Muricidae|Ocenebrinae|Nucella|Nucella emarginata,
