Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Australorbis glabratus,14750,14773,12.68,2,,,,Exact,9.41461,0,"Australorbis glabratus (Say, 1818)",Australorbis glabratus,7Q974,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Tectipleura|Hygrophila|Lymnaeoidea|Planorbidae|Planorbinae|Helisomatini|Biomphalaria|Biomphalaria glabrata,
1,,Batallaria attramentaria,15607,15632,6.78,2,,,,Fuzzy,9.39194,1,"Batillaria attramentaria (G. B. Sowerby II, 1855)",Batillaria attramentaria,KYS5,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Cerithioidea|Batillariidae|Batillaria|Batillaria attramentaria,
2,,Battilaria attramentaria,132,157,12.21,2,,,,PartialExact,8.65154,0,Battilaria Fischer & Wenz 1918,Battilaria,23230,205,Nomenclator Zoologicus,,
3,,Biomophalaria glubrata,14570,14593,7.84,2,,,,NoMatch,0.0,,,,,,,,
4,,Gillichthys mirabilis,15717,15739,9.06,2,,,,Exact,9.41496,0,"Gillichthys mirabilis Cooper, 1864",Gillichthys mirabilis,3G33W,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Perciformes|Gobiidae|Gillichthys|Gillichthys mirabilis,
5,,Oncomelania hupensis,15341,15361,10.94,2,,,,Exact,9.41496,0,"Oncomelania hupensis Gredler, 1881",Oncomelania hupensis,49HTS,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Littorinimorpha|Truncatelloidea|Pomatiopsidae|Pomatiopsinae|Pomatiopsini|Oncomelania|Oncomelania hupensis,
6,,Plagiorchis micranthos cercariae,15481,15513,14.84,3,,,,PartialExact,8.65558,0,"Plagiorchis Lühe, 1899",Plagiorchis,7PSG7,1,Catalogue of Life,Biota|Animalia|Platyhelminthes|Rhabditophora|Trematoda|Digenea|Plagiorchiida|Xiphidiata|Plagiorchioidea|Plagiorchiidae|Plagiorchis,
7,,S. haematobium,15104,15118,7.14,2,,,,NoMatch,0.0,,,,,,,,
8,,Schistosoma japonicum,15289,15310,12.73,2,,,,Exact,9.41496,0,"Schistosoma japonicum Katsurada, 1904",Schistosoma japonicum,BFWTD,1,Catalogue of Life,Biota|Animalia|Platyhelminthes|Rhabditophora|Trematoda|Digenea|Diplostomida|Diplostomata|Schistosomatoidea|Schistosomatidae|Schistosomatinae|Schistosoma|Schistosoma japonicum,
9,,Schistosoma mansomi,14695,14714,6.67,2,,,,Fuzzy,9.39194,1,"Schistosoma mansoni Sambon, 1907",Schistosoma mansoni,9GTQC,1,Catalogue of Life,Biota|Animalia|Platyhelminthes|Rhabditophora|Trematoda|Digenea|Diplostomida|Diplostomata|Schistosomatoidea|Schistosomatidae|Schistosomatinae|Schistosoma|Schistosoma mansoni,
10,,Schistosoma mansomi cercariae,14908,14937,12.89,3,,,,PartialExact,8.62644,0,Schistosoma cercariae,Schistosoma cercariae,744452,168,ION,,
11,,Schistosoma mansoni,14524,14543,12.15,2,,,,Exact,9.41496,0,"Schistosoma mansoni Sambon, 1907",Schistosoma mansoni,9GTQC,1,Catalogue of Life,Biota|Animalia|Platyhelminthes|Rhabditophora|Trematoda|Digenea|Diplostomida|Diplostomata|Schistosomatoidea|Schistosomatidae|Schistosomatinae|Schistosoma|Schistosoma mansoni,
12,,Schistosomatidae,14727,14744,5.42,1,,,,Exact,9.41496,0,"Schistosomatidae Stiles & Hassall, 1898",Schistosomatidae,7NKXY,1,Catalogue of Life,Biota|Animalia|Platyhelminthes|Rhabditophora|Trematoda|Digenea|Diplostomida|Diplostomata|Schistosomatoidea|Schistosomatidae,
13,,Stagnicola exilis,15519,15537,12.50,2,,,,Exact,9.41461,0,"Stagnicola exilis (I. Lea, 1834)",Stagnicola exilis,4ZGTK,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Tectipleura|Hygrophila|Lymnaeoidea|Lymnaeidae|Lymnaeinae|Ladislavella|Ladislavella exilis,
14,,Trematoda,14715,14726,4.69,1,,,,Exact,9.41391,0,"Trematoda Rudolphi, 1808",Trematoda,54556,3,ITIS,Animalia|Bilateria|Protostomia|Spiralia|Platyhelminthes|Rhabditophora|Trepaxonemata|Euneoophora|Acentrosomata|Bothrioneodermata|Neodermata,
15,,Ulva expansa,1104,1116,8.65,2,,,,Exact,9.41426,0,Ulva expansa (Setchell) Setchell & N.L.Gardner,Ulva expansa,5086,195,AlgaeBase,Chlorophyta|Ulvophyceae|Ulvales|Ulvaceae|Ulva|Ulva expansa,
