Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Bryopsis,4389,4397,3.76,1,,,,Exact,9.41496,0,"Bryopsis J.V.F. Lamouroux, 1809",Bryopsis,3DNY,1,Catalogue of Life,Biota|Plantae|Chlorophyta|Chlorophytina|Ulvophyceae|Bryopsidales|Bryopsidaceae|Bryopsis,
1,,C. stelleri,14441,14452,7.17,2,,,,NoMatch,0.0,,,,,,,,
2,,Ceramiaceae,381,395,4.35,1,,,,Exact,9.41496,0,"Ceramiaceae Dumortier, 1822",Ceramiaceae,7VZ,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Florideophyceae|Ceramiales|Ceramiaceae,
3,,Cryptochiton,756,768,2.36,1,,,,Exact,9.41496,0,"Cryptochiton Middendorff, 1847",Cryptochiton,7NTVX,1,Catalogue of Life,Biota|Animalia|Mollusca|Polyplacophora|Neoloricata|Chitonida|Acanthochitonina|Cryptoplacoidea|Acanthochitonidae|Cryptochitoninae|Cryptochiton,
4,,Cryptochiton back found,16293,16316,0.22,3,,,,PartialExact,8.65558,0,"Cryptochiton Middendorff, 1847",Cryptochiton,7NTVX,1,Catalogue of Life,Biota|Animalia|Mollusca|Polyplacophora|Neoloricata|Chitonida|Acanthochitonina|Cryptoplacoidea|Acanthochitonidae|Cryptochitoninae|Cryptochiton,
5,,Cryptochiton habitat,5322,5343,3.07,2,,,,PartialExact,8.65558,0,"Cryptochiton Middendorff, 1847",Cryptochiton,7NTVX,1,Catalogue of Life,Biota|Animalia|Mollusca|Polyplacophora|Neoloricata|Chitonida|Acanthochitonina|Cryptoplacoidea|Acanthochitonidae|Cryptochitoninae|Cryptochiton,
6,,Cryptochiton stelleri,31,52,9.93,2,,,,Exact,9.41496,0,"Cryptochiton stelleri (Middendorff, 1847)",Cryptochiton stelleri,ZWHP,1,Catalogue of Life,Biota|Animalia|Mollusca|Polyplacophora|Neoloricata|Chitonida|Acanthochitonina|Cryptoplacoidea|Acanthochitonidae|Cryptochitoninae|Cryptochiton|Cryptochiton stelleri,
7,,Diopatra,15126,15134,4.44,1,,,,Exact,9.41496,0,"Diopatra Audouin & Milne Edwards, 1833",Diopatra,84N87,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Eunicida|Onuphidae|Onuphinae|Diopatra,
8,,Diopatra ornata,5270,5285,12.13,2,,,,Exact,9.41496,0,"Diopatra ornata Moore, 1911",Diopatra ornata,36BFZ,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Eunicida|Onuphidae|Onuphinae|Diopatra|Diopatra ornata,
9,,Enteromorpha,20163,20175,5.33,1,,,,Exact,9.41453,0,"Enteromorpha Link in C.G.D. Nees, 1820",Enteromorpha,4C48,1,Catalogue of Life,Biota|Plantae|Chlorophyta|Chlorophytina|Ulvophyceae|Ulvales|Ulvaceae|Ulva,
10,,Enteromorpha linza,4418,4436,9.10,2,,,,Exact,9.41426,0,Enteromorpha linza (Linnaeus) J. Agardh,Enteromorpha linza,6528,3,ITIS,Plantae|Viridiplantae|Chlorophyta|Chlorophyta|Chlorophytina|Ulvophyceae|Ulvales|Ulvaceae|Enteromorpha|Enteromorpha linza,
11,,Giffordia sandriana,4473,4492,12.35,2,,,,Exact,9.41391,0,Giffordia sandriana (Zanardini) Hamel,Giffordia sandriana,13913,195,AlgaeBase,Ochrophyta|Phaeophyceae|Ectocarpales|Acinetosporaceae|Hincksia|Hincksia sandriana,
12,,Goniotrichum,4529,4541,5.00,1,,,,Exact,9.41461,0,"Goniotrichum Kützing, 1943",Goniotrichum,4Q7K,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Rhodellophytina|Stylonematophyceae|Stylonematales|Stylonemataceae|Stylonema,
13,,Heterosiphonia japonica,4547,4570,8.42,2,,,,Exact,9.41391,0,Heterosiphonia japonica Yendo,Heterosiphonia japonica,4722,195,AlgaeBase,Rhodophyta|Florideophyceae|Ceramiales|Delesseriaceae|Dasysiphonia|Dasysiphonia japonica,
