Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Bossiella,2916,2926,5.30,1,,,,Exact,9.41496,0,"Bossiella P.C. Silva, 1957",Bossiella,3BRZ,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Florideophyceae|Corallinales|Corallinaceae|Bossiella,
1,,Dexiospira,17716,17726,4.81,1,,,,Exact,9.41496,0,"Dexiospira Ehrenberg, 1858",Dexiospira,BF5ZP,1,Catalogue of Life,Biota|Chromista|Foraminifera|Dexiospira,
2,,Elminius modestus,17550,17567,12.45,2,,,,Exact,9.41426,0,"Elminius modestus Darwin, 1854",Elminius modestus,206264,3,ITIS,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Maxillopoda|Thecostraca|Cirripedia|Thoracica|Sessilia|Balanomorpha|Balanoidea|Balanidae|Elminius|Elminius modestus,
3,,Fucus serratus,18012,18026,11.18,2,,,,Exact,9.41426,0,Fucus serratus Linnaeus,Fucus serratus,85,195,AlgaeBase,Ochrophyta|Phaeophyceae|Fucales|Fucaceae|Fucus|Fucus serratus,
4,,Hildenbrandia,2100,2114,4.70,1,,,,Exact,9.41496,0,"Hildenbrandia Nardo, 1834",Hildenbrandia,4X82,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Florideophyceae|Hildenbrandiales|Hildenbrandiaceae|Hildenbrandia,
5,,Janua,17699,17705,2.77,1,,,,Exact,9.41496,0,"Janua Saint-Joseph, 1894",Janua,84PCM,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Sabellida|Serpulidae|Spirorbinae|Januini|Janua,
6,,Larvae,3864,3870,1.57,1,,,,Exact,9.41003,0,Larvae,Larvae,2579193,168,ION,,
7,,Lithothamnion,11318,11331,2.34,1,,,,Exact,9.41496,0,"Lithothamnion Heydrich, 1897",Lithothamnion,5FPK,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Florideophyceae|Hapalidiales|Hapalidiaceae|Lithothamnion,
8,,Paradexiospira vitrea,2966,3003,11.61,2,,,,Exact,9.41496,0,"Paradexiospira (Spirorbides) vitrea (Fabricius, 1780)",Paradexiospira vitrea,4CT5G,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Sabellida|Serpulidae|Spirorbinae|Circeini|Paradexiospira|Paradexiospira|Paradexiospira vitrea,
9,,Pileolaria,2659,2669,4.81,1,,,,Exact,9.41496,0,"Pileolaria Claparède, 1868",Pileolaria,84S8B,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Sabellida|Serpulidae|Spirorbinae|Pileolariini|Pileolaria,
