Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Actinia bermudensis,1074,1094,10.34,2,,,,Exact,9.41496,0,"Actinia bermudensis (McMurrich, 1889)",Actinia bermudensis,9T5V,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Actinioidea|Actiniidae|Actinia|Actinia bermudensis,
1,,Aeolidia,2173,2181,3.99,1,,,,Exact,9.41496,0,"Aeolidia Cuvier, 1798",Aeolidia,7NMZK,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Ringipleura|Nudipleura|Nudibranchia|Cladobranchia|Aeolidioidea|Aeolidiidae|Aeolidia,
2,,Aeolidia papillosa,119,138,11.81,2,,,,Exact,9.41496,0,"Aeolidia papillosa (Linnaeus, 1761)",Aeolidia papillosa,64XYT,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Ringipleura|Nudipleura|Nudibranchia|Cladobranchia|Aeolidioidea|Aeolidiidae|Aeolidia|Aeolidia papillosa,
3,,Anthopleura,6422,6433,5.36,1,,,,Exact,9.41496,0,"Anthopleura Duchassaing de Fonbressin & Michelotti, 1860",Anthopleura,7NP8T,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Actinioidea|Actiniidae|Anthopleura,
4,,Anthopleura elegantissima,270,296,8.86,2,,,,Exact,9.41496,0,"Anthopleura elegantissima (Brandt, 1835)",Anthopleura elegantissima,67FKB,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Actinioidea|Actiniidae|Anthopleura|Anthopleura elegantissima,
5,,Condylactis passiflora,1047,1069,12.08,2,,,,Exact,9.41461,0,"Condylactis passiflora Duchassaing de Fombressin & Michelotti, 1864",Condylactis passiflora,XKTD,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Actinioidea|Actiniidae|Condylactis|Condylactis gigantea,
6,,Metridium,8302,8311,5.42,1,,,,Exact,9.41496,0,"Metridium de Blainville, 1824",Metridium,7PHMZ,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Metridioidea|Metridiidae|Metridium,
7,,Metridium marginatum,1008,1029,13.25,2,,,,Exact,9.41461,0,Metridium marginatum Milne-Edwards,Metridium marginatum,73F5R,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Metridioidea|Metridiidae|Metridium|Metridium dianthus,
8,,Metridium senile,794,811,6.55,2,,,,Exact,9.41496,0,"Metridium senile (Linnaeus, 1761)",Metridium senile,42J2K,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Metridioidea|Metridiidae|Metridium|Metridium senile,
9,,Sagartia luciae,1030,1046,10.92,2,,,,Exact,9.41461,0,"Sagartia luciae Verrill, 1898",Sagartia luciae,78ZW8,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Metridioidea|Diadumenidae|Diadumene|Diadumene lineata,
