Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Amaroucium,299,311,5.35,1,,,,Exact,9.41461,0,"Amaroucium Milne Edwards, 1841",Amaroucium,BG6QY,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polyclinidae|Aplidium,
1,,Aplidium,290,298,4.97,1,,,,Exact,9.41496,0,"Aplidium Savigny, 1816",Aplidium,7NPDS,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polyclinidae|Aplidium,
2,,Aplidium arenatum,1984,2002,12.58,2,,,,Exact,9.41496,0,"Aplidium arenatum (Van Name, 1945)",Aplidium arenatum,FNTR,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polyclinidae|Aplidium|Aplidium arenatum,
3,,Aplidium californicum,17478,17499,12.47,2,,,,Exact,9.41496,0,"Aplidium californicum (Ritter & Forsyth, 1917)",Aplidium californicum,67NPZ,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polyclinidae|Aplidium|Aplidium californicum,
4,,Aplidium propinquum,2470,2489,11.12,2,,,,Exact,9.41496,0,"Aplidium propinquum (Van Name, 1945)",Aplidium propinquum,FP2M,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polyclinidae|Aplidium|Aplidium propinquum,
5,,Aplidium solidum,1106,1123,10.78,2,,,,Exact,9.41496,0,"Aplidium solidum (Ritter & Forsyth, 1917)",Aplidium solidum,67NQ3,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polyclinidae|Aplidium|Aplidium solidum,
6,,Archidistoma diaphanes,17632,17654,10.83,2,,,,Exact,9.41461,0,"Archidistoma diaphanes (Ritter & Forsyth, 1917)",Archidistoma diaphanes,G8X7,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polycitoridae|Eudistoma|Eudistoma diaphanes,
7,,Archidistoma molle,17657,17675,10.25,2,,,,Exact,9.41461,0,"Archidistoma molle (Ritter, 1900)",Archidistoma molle,G8XB,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polycitoridae|Eudistoma|Eudistoma molle,
8,,Archidistoma psammion,17676,17697,8.55,2,,,,Exact,9.41461,0,"Archidistoma psammion (Ritter & Forsyth, 1917)",Archidistoma psammion,G8XF,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polycitoridae|Eudistoma|Eudistoma psammion,
9,,Archidistoma ritteri,17700,17720,13.24,2,,,,Exact,9.41461,0,"Archidistoma ritteri (Van Name, 1945)",Archidistoma ritteri,G8XH,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polycitoridae|Eudistoma|Eudistoma ritteri,
10,,Ascidia,18405,18412,3.79,1,,,,Exact,9.41496,0,"Ascidia Linnaeus, 1767",Ascidia,7NPT9,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Phlebobranchia|Ascidiidae|Ascidia,
11,,Ascidia ceratodes,9383,9400,10.68,2,,,,Exact,9.41496,0,"Ascidia ceratodes (Huntsman, 1912)",Ascidia ceratodes,67S8S,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Phlebobranchia|Ascidiidae|Ascidia|Ascidia ceratodes,
12,,Bolycheria osborni,12912,12933,5.14,2,,,,Fuzzy,9.39194,1,"Polycheria osborni Calman, 1898",Polycheria osborni,4L44Y,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda|Amphilochidea|Lysianassida|Synopiidira|Dexaminoidea|Dexaminidae|Polycheriinae|Polycheria|Polycheria osborni,
13,,Cladophora,18383,18393,5.49,1,,,,Exact,9.41496,0,"Cladophora Kützing, 1843",Cladophora,62LGP,1,Catalogue of Life,Biota|Plantae|Chlorophyta|Chlorophytina|Ulvophyceae|Cladophorales|Cladophoraceae|Cladophora,
14,,Cladophora coltmbiana,11659,11680,8.43,2,,,,Fuzzy,9.39121,1,Cladophora columbiana Collins,Cladophora columbiana,3633,195,AlgaeBase,Chlorophyta|Ulvophyceae|Cladophorales|Cladophoraceae|Cladophora|Cladophora columbiana,
15,,Cladophora columbiana,9184,9205,13.50,2,,,,Exact,9.41426,0,Cladophora columbiana Collins,Cladophora columbiana,3633,195,AlgaeBase,Chlorophyta|Ulvophyceae|Cladophorales|Cladophoraceae|Cladophora|Cladophora columbiana,
16,,Clavelina,333,342,4.10,1,,,,Exact,9.41496,0,"Clavelina Savigny, 1816",Clavelina,7NT34,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Clavelinidae|Clavelina,
17,,Clavelina huntsmani,1844,1864,10.86,2,,,,Exact,9.41496,0,"Clavelina huntsmani Van Name, 1931",Clavelina huntsmani,5Z9G3,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Clavelinidae|Clavelina|Clavelina huntsmani,
18,,Columbiana,18394,18404,3.73,1,,,,Exact,9.41426,0,Columbiana Muir 1919,Columbiana,45427,205,Nomenclator Zoologicus,,
19,,Cystodytes,1869,1879,2.79,1,,,,Exact,9.41496,0,"Cystodytes Drasche, 1884",Cystodytes,7NVBH,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polycitoridae|Cystodytes,
20,,Cystodytes lobatus,2805,2824,10.55,2,,,,Exact,9.41496,0,"Cystodytes lobatus (Ritter, 1900)",Cystodytes lobatus,33PTM,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polycitoridae|Cystodytes|Cystodytes lobatus,
21,,Distaplia occidentalis,1820,1843,13.75,2,,,,Exact,9.41496,0,"Distaplia occidentalis Bancroft, 1899",Distaplia occidentalis,36WKF,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Holozoidae|Distaplia|Distaplia occidentalis,
