Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Aeta,19710,19714,3.32,1,,,,NoMatch,0.0,,,,,,,,
1,,Ampharetidae,28935,28947,5.68,1,,,,Exact,9.41496,0,"Ampharetidae Malmgren, 1866",Ampharetidae,84JVH,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Terebellida|Terebelliformia|Ampharetidae,
2,,Amphi poda,29307,29317,6.17,2,,,,NoMatch,0.0,,,,,,,,
3,,Amphipoda,9251,9261,4.14,1,,,,Exact,9.41496,0,"Amphipoda Latreille, 1816",Amphipoda,BMGVN,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda,
4,,Annelida,28845,28853,3.99,1,,,,Exact,9.41426,0,"Annelida Lamarck, 1809",Annelida,urn:lsid:irmng.org:taxname:234,181,IRMNG,Biota|Animalia|Annelida,
5,,Arla,19729,19733,3.02,1,,,,Exact,9.41496,0,"Arla Clarke, 1942",Arla,922XZ,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Gelechioidea|Gelechiidae|Gelechiinae|Arla,
6,,Arthropoda,9428,9439,4.07,1,,,,Exact,9.41426,0,"Arthropoda Gravenhorst, 1843",Arthropoda,urn:lsid:irmng.org:taxname:235,181,IRMNG,Biota|Animalia|Arthropoda,
7,,Balanus glandula,16947,16963,11.83,2,,,,Exact,9.41426,0,Balanus glandula Darwin 1854,Balanus glandula,302463,172,PaleoBioDB,||Cirripedia|Sessilia|Balanus glandula,
8,,Barleeia,15435,15443,4.12,1,,,,Exact,9.41496,0,"Barleeia W. Clark, 1853",Barleeia,7NQG9,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Littorinimorpha|Rissooidea|Barleeiidae|Barleeia,
9,,Beaufortia,17044,17055,4.59,1,,,,Exact,9.41461,0,Beaufortia R.Br.,Beaufortia,5T6HJ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae|Myrtoideae|Melaleuca,
10,,Cirolina harfordii,29288,29306,5.27,2,,,,Fuzzy,9.36764,2,"Cirolana harfordi (Lockington, 1877)",Cirolana harfordi,5YV9S,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Isopoda|Cymothoida|Cymothooidea|Cirolanidae|Cirolana|Cirolana harfordi,
11,,Cirratulidae,28908,28920,5.13,1,,,,Exact,9.41496,0,"Cirratulidae Ryckholt, 1851",Cirratulidae,84K2S,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Terebellida|Cirratuliformia|Cirratulidae,
12,,Corralina,4933,4942,4.10,1,,,,Exact,9.41426,0,Corralina Strand 1942,Corralina,218595,205,Nomenclator Zoologicus,,
13,,Corralina vancouverensius,20214,20239,6.74,2,,,,PartialExact,8.65154,0,Corralina Strand 1942,Corralina,218595,205,Nomenclator Zoologicus,,
14,,Corralina vancouveriensus,328,354,6.85,2,,,,PartialExact,8.65154,0,Corralina Strand 1942,Corralina,218595,205,Nomenclator Zoologicus,,
15,,Dynamene,29279,29287,3.74,1,,,,Exact,9.41496,0,"Dynamene Leach, 1818",Dynamene,B6PNV,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Isopoda|Sphaeromatidea|Sphaeromatoidea|Sphaeromatidae|Dynamene,
16,,Echinodermata,29554,29567,4.98,1,,,,Exact,9.41426,0,"Echinodermata Bruguière, 1791",Echinodermata,urn:lsid:irmng.org:taxname:158,181,IRMNG,Biota|Animalia|Echinodermata,
17,,Endocladia,3933,3943,4.36,1,,,,Exact,9.41496,0,"Endocladia J.Agardh, 1841",Endocladia,4BM2,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Florideophyceae|Gigartinales|Endocladiaceae|Endocladia,
18,,Endocladia muricata,438,458,12.48,2,,,,Exact,9.41426,0,Endocladia muricata (Endlicher) J.Agardh,Endocladia muricata,4954,195,AlgaeBase,Rhodophyta|Florideophyceae|Gigartinales|Endocladiaceae|Endocladia|Endocladia muricata,
