Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Agardhiella,17778,17789,5.38,1,,,,Exact,9.41496,0,"Agardhiella P. Hesse, 1923",Agardhiella,7NN7J,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Tectipleura|Eupulmonata|Stylommatophora|Helicina|Pupilloidei|Pupilloidea|Agardhiellidae|Agardhiella,
1,,Agardhiella coulteri,18248,18268,12.95,2,,,,Exact,9.41426,0,Agardhiella coulteri (Harvey) Setchell,Agardhiella coulteri,65864,195,AlgaeBase,Rhodophyta|Florideophyceae|Gigartinales|Solieriaceae|Agardhiella|Agardhiella coulteri,
2,,Alaria marginata,17798,17814,12.13,2,,,,Exact,9.41426,0,Alaria marginata Postals and Ruprecht,Alaria marginata,11293,3,ITIS,Chromista|Chromista|Phaeophyta|Phaeophyceae|Laminariales|Alariaceae|Alaria|Alaria marginata,
3,,Callithamnion pikeanum,19409,19431,9.69,2,,,,Exact,9.41426,0,Callithamnion pikeanum Harvey,Callithamnion pikeanum,4922,195,AlgaeBase,Rhodophyta|Florideophyceae|Ceramiales|Callithamniaceae|Callithamnion|Callithamnion pikeanum,
4,,Cladophora,17815,17825,5.49,1,,,,Exact,9.41496,0,"Cladophora Kützing, 1843",Cladophora,62LGP,1,Catalogue of Life,Biota|Plantae|Chlorophyta|Chlorophytina|Ulvophyceae|Cladophorales|Cladophoraceae|Cladophora,
5,,Cladophora trichotoma,19068,19089,12.34,2,,,,Exact,9.41391,0,Cladophora trichotoma (C.Agardh) Kützing,Cladophora trichotoma,16717,195,AlgaeBase,,
6,,Codium,9046,9052,4.70,1,,,,Exact,9.41496,0,"Codium Stackhouse, 1797",Codium,3RRQ,1,Catalogue of Life,Biota|Plantae|Chlorophyta|Chlorophytina|Ulvophyceae|Bryopsidales|Codiaceae|Codium,
7,,Codium fragile,8717,8732,6.08,2,,,,Exact,9.41426,0,Codium fragile (Suringar) Hariot,Codium fragile,3638,195,AlgaeBase,Chlorophyta|Ulvophyceae|Bryopsidales|Codiaceae|Codium|Codium fragile,
8,,Cystoseira osmundacea,17872,17893,11.93,2,,,,Exact,9.41426,0,Cystoseira osmundacea Turn.,Cystoseira osmundacea,11367,3,ITIS,Chromista|Chromista|Phaeophyta|Phaeophyceae|Fucales|Cystoseiraceae|Cystoseira|Cystoseira osmundacea,
9,,Cystseira osmundacea,20662,20682,6.57,2,,,,Fuzzy,9.39121,1,Cystoseira osmundacea Turn.,Cystoseira osmundacea,11367,3,ITIS,Chromista|Chromista|Phaeophyta|Phaeophyceae|Fucales|Cystoseiraceae|Cystoseira|Cystoseira osmundacea,
10,,Desmarestia,26939,26950,4.74,1,,,,Exact,9.41496,0,"Desmarestia J.V.F. Lamouroux, 1813",Desmarestia,7NVWD,1,Catalogue of Life,Biota|Chromista|Ochrophyta|Phaeophyceae|Desmarestiales|Desmarestiaceae|Desmarestia,
11,,Desmarestia californicum,21895,21919,12.23,2,,,,PartialExact,8.65558,0,"Desmarestia J.V.F. Lamouroux, 1813",Desmarestia,7NVWD,1,Catalogue of Life,Biota|Chromista|Ochrophyta|Phaeophyceae|Desmarestiales|Desmarestiaceae|Desmarestia,
12,,Desmarestia herbacea,22584,22604,11.63,2,,,,Exact,9.41426,0,Desmarestia herbacea (Turner) J.V.Lamouroux,Desmarestia herbacea,14251,195,AlgaeBase,Ochrophyta|Phaeophyceae|Desmarestiales|Desmarestiaceae|Desmarestia|Desmarestia herbacea,
13,,Dictyneurum californicum,20683,20707,7.54,2,,,,Fuzzy,9.39121,1,Dictyoneurum californicum Ruprecht,Dictyoneurum californicum,11267,3,ITIS,Chromista|Chromista|Phaeophyta|Phaeophyceae|Laminariales|Laminariaceae|Dictyoneurum|Dictyoneurum californicum,
14,,Dictyoneurum californicum,22720,22745,13.17,2,,,,Exact,9.41426,0,Dictyoneurum californicum Ruprecht,Dictyoneurum californicum,11267,3,ITIS,Chromista|Chromista|Phaeophyta|Phaeophyceae|Laminariales|Laminariaceae|Dictyoneurum|Dictyoneurum californicum,
15,,Egregia menziesii,12537,12555,10.80,2,,,,Exact,9.41426,0,Egregia menziesii (Turner) Areschoug,Egregia menziesii,11305,3,ITIS,Chromista|Chromista|Phaeophyta|Phaeophyceae|Laminariales|Alariaceae|Egregia|Egregia menziesii,
16,,Endocladia muricata,12416,12436,12.48,2,,,,Exact,9.41426,0,Endocladia muricata (Endlicher) J.Agardh,Endocladia muricata,4954,195,AlgaeBase,Rhodophyta|Florideophyceae|Gigartinales|Endocladiaceae|Endocladia|Endocladia muricata,
17,,Enteromorpha,18348,18360,5.33,1,,,,Exact,9.41453,0,"Enteromorpha Link in C.G.D. Nees, 1820",Enteromorpha,4C48,1,Catalogue of Life,Biota|Plantae|Chlorophyta|Chlorophytina|Ulvophyceae|Ulvales|Ulvaceae|Ulva,
18,,Flaminaria sinclairii,20888,20909,6.11,2,,,,NoMatch,0.0,,,,,,,,
19,,Fucus distichus,17951,17966,9.42,2,,,,Exact,9.41426,0,"Fucus distichus Linnaeus, 1767",Fucus distichus,11337,3,ITIS,Chromista|Chromista|Phaeophyta|Phaeophyceae|Fucales|Fucaceae|Fucus|Fucus distichus,
20,,Gastroclonium coulteri,8733,8756,13.26,2,,,,Exact,9.41391,0,Gastroclonium coulteri (Harvey) Kylin,Gastroclonium coulteri,17034,195,AlgaeBase,Rhodophyta|Florideophyceae|Rhodymeniales|Champiaceae|Neogastroclonium|Neogastroclonium subarticulatum,
21,,Gelidium,10712,10720,4.97,1,,,,Exact,9.41496,0,"Gelidium J.V.F. Lamouroux, 1813",Gelidium,62T5Y,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Florideophyceae|Gelidiales|Gelidiaceae|Gelidium,
22,,Gelidium coulteri,18382,18399,12.55,2,,,,Exact,9.41426,0,Gelidium coulteri Harv.,Gelidium coulteri,11797,3,ITIS,Plantae|Biliphyta|Rhodophyta|Eurhodophytina|Florideophyceae|Rhodymeniophycidae|Gelidiales|Gelidiaceae|Gelidium|Gelidium coulteri,
23,,Gigartina,10006,10015,4.10,1,,,,Exact,9.41496,0,"Gigartina Stackhouse, 1809",Gigartina,4NH9,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Florideophyceae|Gigartinales|Gigartinaceae|Gigartina,
24,,Gigartina agardhi,19606,19623,8.61,2,,,,Fuzzy,9.39084,1,Gigartina agardhii Setchell & N.L.Gardner,Gigartina agardhii,16386,195,AlgaeBase,Rhodophyta|Florideophyceae|Gigartinales|Phyllophoraceae|Mastocarpus|Mastocarpus agardhii,
25,,Gigartina agardhii,18400,18418,11.00,2,,,,Exact,9.41391,0,Gigartina agardhii Setchell & N.L.Gardner,Gigartina agardhii,16386,195,AlgaeBase,Rhodophyta|Florideophyceae|Gigartinales|Phyllophoraceae|Mastocarpus|Mastocarpus agardhii,
26,,Gigartina californica,21289,21310,12.14,2,,,,Exact,9.41391,0,Gigartina californica J.Agardh,Gigartina californica,17240,195,AlgaeBase,Rhodophyta|Florideophyceae|Gigartinales|Gigartinaceae|Chondracanthus|Chondracanthus corymbiferus,
