Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. molle,9430,9438,4.01,2,,,,NoMatch,0.0,,,,,,,,
1,,A. nigra,14756,14765,4.85,2,,,,NoMatch,0.0,,,,,,,,
2,,A. psammion,5590,5602,2.30,2,,,,NoMatch,0.0,,,,,,,,
3,,Ap. solidum,10610,10622,5.40,2,,,,NoMatch,0.0,,,,,,,,
4,,Aplidium solidum,3186,3202,10.78,2,,,,Exact,9.41496,0,"Aplidium solidum (Ritter & Forsyth, 1917)",Aplidium solidum,67NQ3,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polyclinidae|Aplidium|Aplidium solidum,
5,,Archidistoma molle,3100,3118,10.25,2,,,,Exact,9.41461,0,"Archidistoma molle (Ritter, 1900)",Archidistoma molle,G8XB,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polycitoridae|Eudistoma|Eudistoma molle,
6,,Archidistoma molle side,22486,22509,8.27,3,,,,PartialExact,8.65356,0,"Archidistoma molle (Ritter, 1900)",Archidistoma molle,G8XB,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polycitoridae|Eudistoma|Eudistoma molle,
7,,Archidistoma psammion,3135,3156,8.55,2,,,,Exact,9.41461,0,"Archidistoma psammion (Ritter & Forsyth, 1917)",Archidistoma psammion,G8XF,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polycitoridae|Eudistoma|Eudistoma psammion,
8,,Ascidia,1207,1214,3.79,1,,,,Exact,9.41496,0,"Ascidia Linnaeus, 1767",Ascidia,7NPT9,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Phlebobranchia|Ascidiidae|Ascidia,
9,,Ascidia accepted,15873,15889,2.86,2,,,,PartialExact,8.65558,0,"Ascidia Linnaeus, 1767",Ascidia,7NPT9,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Phlebobranchia|Ascidiidae|Ascidia,
