Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Battaglia,11642,11652,5.68,1,,,,Exact,9.41426,0,Battaglia Senowbari-Daryan & Schafer 1986,Battaglia,306250,205,Nomenclator Zoologicus,,
1,,Chia,1161,1166,4.01,1,,,,Exact,9.41426,0,Chia Lin 1958,Chia,255379,205,Nomenclator Zoologicus,,
2,,Cystoseira,20714,20725,4.81,1,,,,Exact,9.41496,0,"Cystoseira C.Agardh, 1820",Cystoseira,7NVBK,1,Catalogue of Life,Biota|Chromista|Ochrophyta|Phaeophyceae|Fucales|Sargassaceae|Cystoseira,
3,,Gigartina canaliculata,20690,20713,12.47,2,,,,Exact,9.41391,0,Gigartina canaliculata Harvey,Gigartina canaliculata,14865,195,AlgaeBase,Rhodophyta|Florideophyceae|Gigartinales|Gigartinaceae|Chondracanthus|Chondracanthus canaliculatus,
4,,Gigartina leptorhynchos,20726,20750,10.28,2,,,,Exact,9.41391,0,Gigartina leptorhynchos J.Agardh,Gigartina leptorhynchos,14840,195,AlgaeBase,Rhodophyta|Florideophyceae|Gigartinales|Gigartinaceae|Mazzaella|Mazzaella leptorhynchos,
5,,Iridaea,20668,20676,4.55,1,,,,Exact,9.41496,0,"Iridaea Bory de Saint-Vincent, 1826",Iridaea,54ZH,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Florideophyceae|Gigartinales|Gigartinaceae|Iridaea,
6,,Iridea,8761,8768,4.27,1,,,,Exact,9.41461,0,"Iridea Stackhouse, 1816",Iridea,7P789,1,Catalogue of Life,Biota|Chromista|Ochrophyta|Phaeophyceae|Desmarestiales|Desmarestiaceae|Desmarestia,
7,,M. edulis,2562,2571,6.99,2,,,,NoMatch,0.0,,,,,,,,
8,,M. edulis byssus,15183,15199,8.48,3,,,,NoMatch,0.0,,,,,,,,
9,,Macrocystis,8769,8781,4.73,1,,,,Exact,9.41496,0,"Macrocystis C.Agardh, 1820",Macrocystis,7PD82,1,Catalogue of Life,Biota|Chromista|Ochrophyta|Phaeophyceae|Laminariales|Laminariaceae|Macrocystis,
10,,Mollusca,18353,18361,3.74,1,,,,Exact,9.41426,0,"Mollusca Linnaeus, 1758",Mollusca,urn:lsid:irmng.org:taxname:175,181,IRMNG,Biota|Animalia|Mollusca,
