Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Africana,37037,37046,3.36,1,,,,Exact,9.41461,0,"Africana Ocaña & Brito, 2015",Africana,84L6Z,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Scleractinia|Caryophylliidae|Euafricana,
1,,Anthopleura elegantissima,41101,41126,8.86,2,,,,Exact,9.41496,0,"Anthopleura elegantissima (Brandt, 1835)",Anthopleura elegantissima,67FKB,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Actinioidea|Actiniidae|Anthopleura|Anthopleura elegantissima,
2,,Anthopleura sola,41642,41658,7.22,2,,,,Exact,9.41496,0,"Anthopleura sola Pearse & Francis, 2000",Anthopleura sola,67FL7,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Actinioidea|Actiniidae|Anthopleura|Anthopleura sola,
3,,Anthopluera,19261,19272,5.67,1,,,,NoMatch,0.0,,,,,,,,
4,,Celana capensis,36952,36968,4.23,2,,,,Fuzzy,9.39194,1,"Cellana capensis (Gmelin, 1791)",Cellana capensis,S3NC,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Patellogastropoda|Patelloidea|Nacellidae|Cellana|Cellana capensis,
5,,Cladophora sericea,19437,19455,12.21,2,,,,Exact,9.41426,0,Cladophora sericea (Hudson) Kützing,Cladophora sericea,235,195,AlgaeBase,Chlorophyta|Ulvophyceae|Cladophorales|Cladophoraceae|Cladophora|Cladophora sericea,
6,,Corallina,11502,11511,4.10,1,,,,Exact,9.41496,0,"Corallina Linnaeus, 1758",Corallina,3TWC,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Florideophyceae|Corallinales|Corallinaceae|Corallina,
7,,Dana,22575,22579,2.44,1,,,,Exact,9.41496,0,"Dana Lowry, 2011",Dana,7P7ZM,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda|Senticaudata|Talitrida|Talitridira|Talitroidea|Talitroidae|Makawidae|Dana,
8,,E. muricata,11040,11051,7.71,2,,,,NoMatch,0.0,,,,,,,,
9,,Encrusting algae,40628,40645,5.79,2,,,,Exact,9.41074,0,Encrusting algae,Encrusting algae,11167679,11,GBIF Backbone Taxonomy,Plantae|Encrusting|Encrusting algae,
10,,Endocladia muricata,10490,10510,12.48,2,,,,Exact,9.41426,0,Endocladia muricata (Endlicher) J.Agardh,Endocladia muricata,4954,195,AlgaeBase,Rhodophyta|Florideophyceae|Gigartinales|Endocladiaceae|Endocladia|Endocladia muricata,
11,,F. gardneri,30511,30523,7.17,2,,,,NoMatch,0.0,,,,,,,,
12,,Fucus,41404,41409,,1,,,,Exact,9.41496,0,"Fucus Linnaeus, 1753",Fucus,7P2VH,1,Catalogue of Life,Biota|Chromista|Ochrophyta|Phaeophyceae|Fucales|Fucaceae|Fucus,
13,,Fucus gardneri,19242,19256,10.82,2,,,,Exact,9.41391,0,Fucus gardneri P.C.Silva,Fucus gardneri,4874,195,AlgaeBase,Ochrophyta|Phaeophyceae|Fucales|Fucaceae|Fucus|Fucus distichus,
14,,Gastroclonium subarticulatum,19460,19489,13.70,2,,,,Exact,9.41391,0,Gastroclonium subarticulatum (Turner) Kützing,Gastroclonium subarticulatum,2863,195,AlgaeBase,Rhodophyta|Florideophyceae|Rhodymeniales|Champiaceae|Neogastroclonium|Neogastroclonium subarticulatum,
15,,Haliclona,41741,41750,4.83,1,,,,Exact,9.41496,0,"Haliclona Grant, 1841",Haliclona,84NXG,1,Catalogue of Life,Biota|Animalia|Porifera|Demospongiae|Heteroscleromorpha|Haplosclerida|Chalinidae|Haliclona,
