Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,B. abyssicola,13781,13794,7.06,2,,,,NoMatch,0.0,,,,,,,,
1,,Beroe,5126,5131,1.43,1,,,,Exact,9.41496,0,"Beroe O.F. Müller, 1776",Beroe,7NQPN,1,Catalogue of Life,Biota|Animalia|Ctenophora|Nuda|Beroida|Beroidae|Beroe,
2,,Beroe abyssicola,995,1011,8.88,2,,,,Exact,9.41496,0,"Beroe abyssicola Mortensen, 1927",Beroe abyssicola,LLTN,1,Catalogue of Life,Biota|Animalia|Ctenophora|Nuda|Beroida|Beroidae|Beroe|Beroe abyssicola,
3,,Cavolina,5223,5231,3.66,1,,,,Exact,9.41496,0,"Cavolina Abildgaard, 1791",Cavolina,BG98M,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Tectipleura|Pteropoda|Euthecosomata|Cavolinioidea|Cavoliniidae|Cavoliniinae|Cavolina,
4,,Claudia,17195,17202,3.79,1,,,,Exact,9.41461,0,Claudia Opiz,Claudia,8WDDV,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Melica,
5,,Coronatae,25875,25886,3.23,1,,,,Exact,9.41496,0,"Coronatae Vanhöffen, 1892",Coronatae,B6LDN,1,Catalogue of Life,Biota|Animalia|Cnidaria|Scyphozoa|Coronamedusae|Coronatae,
6,,Ctenophora,5136,5147,5.49,1,,,,Exact,9.41496,0,"Ctenophora Meigen, 1803",Ctenophora,87BR2,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Tipulidae|Ctenophorinae|Ctenophora,
7,,Dino,25189,25195,1.47,1,,,,Exact,9.41496,0,"Dino Loman, 1892",Dino,7PB9V,1,Catalogue of Life,Biota|Animalia|Arthropoda|Arachnida|Opiliones|Laniatores|Grassatores|Epedanoidea|Epedanidae|Epedaninae|Dino,
8,,Euphysa,5428,5436,3.54,1,,,,Exact,9.41496,0,"Euphysa Forbes, 1848",Euphysa,7NZM7,1,Catalogue of Life,Biota|Animalia|Cnidaria|Hydrozoa|Hydroidolina|Anthoathecata|Aplanulata|Corymorphidae|Euphysa,
9,,Fleurobrachia bachei,7193,7213,5.42,2,,,,Fuzzy,9.39185,1,"Pleurobrachia bachei A. Agassiz, in L. Agassiz, 1860",Pleurobrachia bachei,6VRRV,1,Catalogue of Life,Biota|Animalia|Ctenophora|Tentaculata|Cydippida|Pleurobrachiidae|Pleurobrachia|Pleurobrachia bachei,
