Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. japonicus,28681,28693,7.11,2,,,,NoMatch,0.0,,,,,,,,
1,,A. xanthogrammica,28130,28148,7.64,2,,,,NoMatch,0.0,,,,,,,,
2,,Analipus japonicus,28364,28383,12.47,2,,,,Exact,9.41426,0,Analipus japonicus (Harvey) M.J.Wynne,Analipus japonicus,3874,195,AlgaeBase,Ochrophyta|Phaeophyceae|Ralfsiales|Ralfsiaceae|Analipus|Analipus japonicus,
3,,Anthopleura xanthogrammica,3224,3251,13.40,2,,,,Exact,9.41496,0,"Anthopleura xanthogrammica (Brandt, 1835)",Anthopleura xanthogrammica,5VFKG,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Enthemonae|Actinioidea|Actiniidae|Anthopleura|Anthopleura xanthogrammica,
4,,B. glandula,27238,27250,6.33,2,,,,NoMatch,0.0,,,,,,,,
5,,Balanus glandula,4770,4787,11.83,2,,,,Exact,9.41426,0,Balanus glandula Darwin 1854,Balanus glandula,302463,172,PaleoBioDB,||Cirripedia|Sessilia|Balanus glandula,
6,,C. andersonii,28408,28422,7.23,2,,,,NoMatch,0.0,,,,,,,,
7,,C. columbiana,27661,27675,7.61,2,,,,NoMatch,0.0,,,,,,,,
8,,Callithamnion paschal,27251,27273,3.06,2,,,,Fuzzy,9.39121,1,Callithamnion paschale Børgesen,Callithamnion paschale,5271,195,AlgaeBase,Rhodophyta|Florideophyceae|Ceramiales|Callithamniaceae|Callithamnion|Callithamnion paschale,
9,,Chthamalus,4792,4802,5.53,1,,,,Exact,9.41426,0,Chthamalus Ranzani 1817,Chthamalus,41287,205,Nomenclator Zoologicus,,
10,,Cladophora columbiana,21694,21716,13.50,2,,,,Exact,9.41426,0,Cladophora columbiana Collins,Cladophora columbiana,3633,195,AlgaeBase,Chlorophyta|Ulvophyceae|Cladophorales|Cladophoraceae|Cladophora|Cladophora columbiana,
11,,Cryptopleura,27274,27286,5.56,1,,,,Exact,9.41496,0,"Cryptopleura Kützing, 1843",Cryptopleura,3WR5,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Florideophyceae|Ceramiales|Delesseriaceae|Cryptopleura,
