Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Anthomyiidae,123,138,5.13,1,,,,Exact,9.41426,0,"Anthomyiidae Robineau-Desvoidy, 1830",Anthomyiidae,urn:lsid:marinespecies.org:taxname:150952,9,WoRMS,,
1,,A�coelopa vanduzeei,14252,14272,4.67,2,,,,NoMatch,0.0,,,,,,,,
2,,A�coelopa yanduzeei,13983,14002,4.67,2,,,,NoMatch,0.0,,,,,,,,
3,,B�fucellia costalis,14003,14022,8.35,2,,,,NoMatch,0.0,,,,,,,,
4,,Coelopa frigida,559,574,10.68,2,,,,Exact,9.41496,0,"Coelopa (Fucomyia) frigida (Fabricius, 1805)",Coelopa frigida,8BJKY,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Coelopidae|Coelopinae|Coelopini|Coelopa|Fucomyia|Coelopa frigida,
5,,Coelopa vanduzeei,56,73,9.38,2,,,,Exact,9.41496,0,"Coelopa (Neocoelopa) vanduzeei Cresson, 1914",Coelopa vanduzeei,8BJL3,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Coelopidae|Coelopinae|Coelopini|Coelopa|Neocoelopa|Coelopa vanduzeei,
6,,Coelopidae,74,87,4.78,1,,,,Exact,9.41426,0,"Coelopidae Hendel, 1910",Coelopidae,urn:lsid:irmng.org:taxname:110328,181,IRMNG,Biota|Animalia|Arthropoda|Hexapoda|Insecta|Diptera|Coelopidae,
7,,C�fucellia rufitibia,14023,14043,7.17,2,,,,NoMatch,0.0,,,,,,,,
8,,Diptera,13626,13635,4.96,1,,,,Exact,9.41461,0,Diptera Borkh.,Diptera,5T8Z6,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Saxifragaceae|Saxifraga,
9,,F. rufitibia,110,122,6.24,2,,,,NoMatch,0.0,,,,,,,,
10,,Fucellia costalis,88,105,13.05,2,,,,Exact,9.41496,0,"Fucellia costalis Stein, 1910",Fucellia costalis,6K2KX,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Anthomyiidae|Fucellia|Fucellia costalis,
11,,Fucellia maritima,537,554,12.16,2,,,,Exact,9.41496,0,"Fucellia maritima (Haliday, 1838)",Fucellia maritima,9H9XP,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Anthomyiidae|Fucellia|Fucellia maritima,
12,,Fucellia rufitibia,366,384,11.88,2,,,,Exact,9.41496,0,"Fucellia rufitibia Stein, 1910",Fucellia rufitibia,6JQL2,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Anthomyiidae|Fucellia|Fucellia rufitibia,
13,,L. johnsoni,5702,5713,6.57,2,,,,NoMatch,0.0,,,,,,,,
14,,Larvae,16,22,1.57,1,,,,Exact,9.41003,0,Larvae,Larvae,2579193,168,ION,,
15,,Leptocera johnsoni,143,161,12.58,2,,,,Exact,9.41461,0,"Leptocera johnsoni Spuler, 1925",Leptocera johnsoni,88JDG,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Sphaeroceridae|Limosininae|Thoracochaeta|Thoracochaeta johnsoni,
16,,Macrocystis,5374,5385,4.73,1,,,,Exact,9.41496,0,"Macrocystis C.Agardh, 1820",Macrocystis,7PD82,1,Catalogue of Life,Biota|Chromista|Ochrophyta|Phaeophyceae|Laminariales|Laminariaceae|Macrocystis,
17,,Macrocystis stipes,9005,9023,10.50,2,,,,PartialExact,8.65558,0,"Macrocystis C.Agardh, 1820",Macrocystis,7PD82,1,Catalogue of Life,Biota|Chromista|Ochrophyta|Phaeophyceae|Laminariales|Laminariaceae|Macrocystis,
18,,Phyllospadix,5289,5302,3.77,1,,,,Exact,9.41496,0,Phyllospadix Hook.,Phyllospadix,8W2DJ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Alismatales|Zosteraceae|Phyllospadix,
19,,Puparia,14229,14237,4.24,1,,,,Exact,9.41461,0,"Puparia Rafinesque, 1815",Puparia,BGPRT,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Tectipleura|Eupulmonata|Stylommatophora|Helicina|Urocoptoidea|Cerionidae|Cerion,
20,,Sphaeroceridae,162,178,5.13,1,,,,Exact,9.41426,0,"Sphaeroceridae Macquart, 1835",Sphaeroceridae,urn:lsid:irmng.org:taxname:110883,181,IRMNG,Biota|Animalia|Arthropoda|Hexapoda|Insecta|Diptera|Sphaeroceridae,
