Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Caloplaca marina,2038,2054,7.23,2,,,,Exact,9.41461,0,Caloplaca marina (Wedd.) Zahlbr.,Caloplaca marina,PZZS,1,Catalogue of Life,Biota|Fungi|Ascomycota|Lecanoromycetes|Teloschistales|Teloschistaceae|Flavoplaca|Flavoplaca marina,
1,,Chlorella vulgaris,13535,13554,12.46,2,,,,Exact,9.41426,0,Chlorella vulgaris Beijerinck,Chlorella vulgaris,27676,195,AlgaeBase,Chlorophyta|Trebouxiophyceae|Chlorellales|Chlorellaceae|Chlorella|Chlorella vulgaris,
2,,L. pinguis,569,579,5.59,2,,,,NoMatch,0.0,,,,,,,,
3,,Lecanor pinguis,7434,7449,2.29,2,,,,Fuzzy,9.39158,1,Lecanora pinguis Tuck.,Lecanora pinguis,3SSWG,1,Catalogue of Life,Biota|Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Lecanoraceae|Protoparmeliopsis|Protoparmeliopsis pinguis,
4,,Lecanora pinguis,73,89,11.11,2,,,,Exact,9.41461,0,Lecanora pinguis Tuck.,Lecanora pinguis,3SSWG,1,Catalogue of Life,Biota|Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Lecanoraceae|Protoparmeliopsis|Protoparmeliopsis pinguis,
5,,Lecanora pinquis,15375,15391,11.11,2,,,,Fuzzy,9.39158,1,Lecanora pinguis Tuck.,Lecanora pinguis,3SSWG,1,Catalogue of Life,Biota|Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Lecanoraceae|Protoparmeliopsis|Protoparmeliopsis pinguis,
6,,N. homalea,629,640,5.45,2,,,,NoMatch,0.0,,,,,,,,
7,,Niebla homalea,94,109,7.97,2,,,,Exact,9.41496,0,Niebla homalea (Ach.) Rundel & Bowler,Niebla homalea,73XRX,1,Catalogue of Life,Biota|Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Ramalinaceae|Niebla|Niebla homalea,
8,,Peltigera polydactyla,10200,10221,12.23,2,,,,Exact,9.41426,0,Peltigera polydactyla (Neck.) Hoffm.,Peltigera polydactyla,123088,204,Fungal Names,Fungi|Ascomycota|Lecanoromycetes|Peltigerales|Peltigeraceae|Peltigera|Peltigera polydactyla,
9,,Ramalina maciformis,8773,8792,10.89,2,,,,Exact,9.41496,0,Ramalina maciformis (Delile) Bory,Ramalina maciformis,4RBGX,1,Catalogue of Life,Biota|Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Ramalinaceae|Ramalina|Ramalina maciformis,
