Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Cliona,3027,3033,,1,,,,Exact,9.41496,0,"Cliona Grant, 1826",Cliona,84MFF,1,Catalogue of Life,Biota|Animalia|Porifera|Demospongiae|Heteroscleromorpha|Clionaida|Clionaidae|Cliona,
1,,Cliona celata,2332,2345,11.50,2,,,,Exact,9.41496,0,"Cliona celata Grant, 1826",Cliona celata,W7FX,1,Catalogue of Life,Biota|Animalia|Porifera|Demospongiae|Heteroscleromorpha|Clionaida|Clionaidae|Cliona|Cliona celata,
2,,Cliona celata bores,9281,9300,14.78,3,,,,PartialExact,8.65558,0,"Cliona celata Grant, 1826",Cliona celata,W7FX,1,Catalogue of Life,Biota|Animalia|Porifera|Demospongiae|Heteroscleromorpha|Clionaida|Clionaidae|Cliona|Cliona celata,
3,,Cliona celata californiana,557,583,17.78,3,,,,Exact,9.49620,0,"Cliona celata var. californiana de Laubenfels, 1932",Cliona celata californiana,5N699,1,Catalogue of Life,Biota|Animalia|Porifera|Demospongiae|Heteroscleromorpha|Clionaida|Clionaidae|Cliona|Cliona californiana,
4,,Clione celata,413,426,9.69,2,,,,Exact,9.41003,0,Clione celata,Clione celata,132193603,166,nlbif,,
5,,H. assimilis,1747,1760,7.55,2,,,,NoMatch,0.0,,,,,,,,
6,,H. corrugata,1727,1740,7.85,2,,,,NoMatch,0.0,,,,,,,,
7,,H. cracherodii,1705,1720,6.91,2,,,,NoMatch,0.0,,,,,,,,
8,,H. fulgens,1791,1801,6.07,2,,,,NoMatch,0.0,,,,,,,,
9,,H. rufesens,9357,9368,6.24,2,,,,NoMatch,0.0,,,,,,,,
10,,H. sorenseni,1767,1780,6.14,2,,,,NoMatch,0.0,,,,,,,,
11,,Haliotidae,326,338,4.78,1,,,,Exact,9.41496,0,"Haliotidae Rafinesque, 1815",Haliotidae,7NHRC,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Lepetellida|Haliotoidea|Haliotidae,
12,,Haliotis,4912,4920,4.21,1,,,,Exact,9.41496,0,"Haliotis Linnaeus, 1758",Haliotis,7P4QH,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Lepetellida|Haliotoidea|Haliotidae|Haliotis,
13,,Haliotis assimilis,12166,12184,12.16,2,,,,Exact,9.41461,0,"Haliotis assimilis Dall, 1878",Haliotis assimilis,BFYVL,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Lepetellida|Haliotoidea|Haliotidae|Haliotis|Haliotis kamtschatkana,
14,,Haliotis corrugata,12123,12141,12.47,2,,,,Exact,9.41496,0,"Haliotis corrugata W. Wood, 1828",Haliotis corrugata,6KZD8,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Lepetellida|Haliotoidea|Haliotidae|Haliotis|Haliotis corrugata,
15,,Haliotis cracherodii,12039,12059,11.52,2,,,,Exact,9.41496,0,"Haliotis cracherodii Leach, 1814",Haliotis cracherodii,3JDWW,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Lepetellida|Haliotoidea|Haliotidae|Haliotis|Haliotis cracherodii,
16,,Haliotis fulgens,12206,12222,10.68,2,,,,Exact,9.41496,0,"Haliotis fulgens R. A. Philippi, 1845",Haliotis fulgens,3JDXK,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Lepetellida|Haliotoidea|Haliotidae|Haliotis|Haliotis fulgens,
