Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Atherinops affinis,4703,4722,12.03,2,,,,Exact,9.41496,0,"Atherinops affinis (Ayres, 1860)",Atherinops affinis,6899P,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Atheriniformes|Atherinopsidae|Atherinops|Atherinops affinis,
1,,Cirriformia,15434,15445,5.20,1,,,,Exact,9.41496,0,"Cirriformia Hartman, 1936",Cirriformia,84MDG,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Canalipalpata|Terebellida|Cirratuliformia|Cirratulidae|Cirriformia,
2,,Cymatogaster aggregata,4737,4760,11.32,2,,,,Exact,9.41496,0,"Cymatogaster aggregata Gibbons, 1854",Cymatogaster aggregata,6C74L,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Perciformes|Embiotocidae|Cymatogaster|Cymatogaster aggregata,
3,,Escalera,15690,15699,5.16,1,,,,Exact,9.41461,0,"Escalera Bolívar, 1905",Escalera,8PPGS,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Orthoptera|Caelifera|Acrididea|Acridoidea|Acrididae|Catantopinae|Gemeneta,
4,,Katsuwonus pelamis,19002,19021,12.50,2,,,,Exact,9.41496,0,"Katsuwonus pelamis (Linnaeus, 1758)",Katsuwonus pelamis,3R3XY,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Perciformes|Scombridae|Katsuwonus|Katsuwonus pelamis,
5,,Platichthys stellatus,4778,4800,12.97,2,,,,Exact,9.41496,0,"Platichthys stellatus (Pallas, 1787)",Platichthys stellatus,4JNBT,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Pleuronectiformes|Pleuronectidae|Platichthys|Platichthys stellatus,
6,,Roccus saxatilis,4815,4832,11.79,2,,,,Exact,9.41461,0,"Roccus saxatilis (Walbaum, 1792)",Roccus saxatilis,4T8JY,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Perciformes|Moronidae|Morone|Morone saxatilis,
7,,Thunnus albacares,18795,18813,9.98,2,,,,Exact,9.41496,0,"Thunnus albacares (Bonnaterre, 1788)",Thunnus albacares,56P6S,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Perciformes|Scombridae|Thunnus|Thunnus albacares,
8,,Triakis semifasciata,4856,4877,11.21,2,,,,Exact,9.41496,0,"Triakis semifasciata Girard, 1855",Triakis semifasciata,5859B,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Chondrichthyes|Elasmobranchii|Carcharhiniformes|Triakidae|Triakis|Triakis semifasciata,
9,,Urechis,16679,16687,1.88,1,,,,Exact,9.41496,0,"Urechis Seitz, 1907",Urechis,84VL5,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Echiura|Echiuroidea|Echiurida|Urechidae|Urechis,
