Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Acanthina spirata,11781,11799,12.04,2,,,,Exact,9.41461,0,"Acanthina spirata (Blainville, 1832)",Acanthina spirata,8TPY,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Neogastropoda|Muricoidea|Muricidae|Ocenebrinae|Acanthinucella|Acanthinucella spirata,
1,,Buccinum,8101,8109,4.86,1,,,,Exact,9.41496,0,"Buccinum Linnaeus, 1758",Buccinum,7NR99,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Neogastropoda|Buccinoidea|Buccinidae|Buccininae|Buccinum,
2,,Buccinum undatum,10619,10635,12.29,2,,,,Exact,9.41496,0,"Buccinum undatum Linnaeus, 1758",Buccinum undatum,NLPP,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Neogastropoda|Buccinoidea|Buccinidae|Buccininae|Buccinum|Buccinum undatum,
3,,Mercenaria,6008,6018,4.81,1,,,,Exact,9.41496,0,"Mercenaria Schumacher, 1817",Mercenaria,7P8Q3,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Heteroconchia|Euheterodonta|Imparidentia|Venerida|Veneroidea|Veneridae|Venerinae|Mercenaria,
4,,Mercenaria mercenaria,198,219,12.06,2,,,,Exact,9.41496,0,"Mercenaria mercenaria (Linnaeus, 1758)",Mercenaria mercenaria,3ZTFD,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Heteroconchia|Euheterodonta|Imparidentia|Venerida|Veneroidea|Veneridae|Venerinae|Mercenaria|Mercenaria mercenaria,
5,,Mollusca,12251,12259,3.74,1,,,,Exact,9.41426,0,"Mollusca Linnaeus, 1758",Mollusca,urn:lsid:irmng.org:taxname:175,181,IRMNG,Biota|Animalia|Mollusca,
6,,Muricacea,1727,1737,4.48,1,,,,Exact,9.41180,0,Muricacea,Muricacea,BG33M,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Neogastropoda|Muricoidea,
7,,Mytilus,358,365,4.96,1,,,,Exact,9.41496,0,"Mytilus Linnaeus, 1758",Mytilus,7P9G3,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Mytilida|Mytiloidea|Mytilidae|Mytilinae|Mytilus,
8,,Mytilus californianus,224,246,12.79,2,,,,Exact,9.41496,0,"Mytilus californianus Conrad, 1837",Mytilus californianus,45GKH,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Mytilida|Mytiloidea|Mytilidae|Mytilinae|Mytilus|Mytilus californianus,
9,,Nucella,1169,1176,4.66,1,,,,Exact,9.41496,0,"Nucella Röding, 1798",Nucella,7PB22,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Neogastropoda|Muricoidea|Muricidae|Ocenebrinae|Nucella,
10,,Nucella emarginata,82,100,13.00,2,,,,Exact,9.41496,0,"Nucella emarginata (Deshayes, 1839)",Nucella emarginata,482KN,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Neogastropoda|Muricoidea|Muricidae|Ocenebrinae|Nucella|Nucella emarginata,
11,,Nucella may,8578,8589,2.96,2,,,,PartialExact,8.65558,0,"Nucella Röding, 1798",Nucella,7PB22,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Neogastropoda|Muricoidea|Muricidae|Ocenebrinae|Nucella,
12,,Octopus vulgaris,7967,7983,11.91,2,,,,Exact,9.41496,0,"Octopus vulgaris Cuvier, 1797",Octopus vulgaris,48KQY,1,Catalogue of Life,Biota|Animalia|Mollusca|Cephalopoda|Coleoidea|Octopodiformes|Octopoda|Incirrata|Octopodoidea|Octopodidae|Octopus|Octopus vulgaris,
13,,Thais haemastoma,2174,2201,9.03,2,,,,Exact,9.41461,0,"Thais haemastoma (Linnaeus, 1767)",Thais haemastoma,55YXH,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Neogastropoda|Muricoidea|Muricidae|Rapaninae|Stramonita|Stramonita haemastoma,
14,,Venus mercenaria,13546,13563,11.68,2,,,,Exact,9.41461,0,"Venus mercenaria Linnaeus, 1758",Venus mercenaria,7FMF6,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Heteroconchia|Euheterodonta|Imparidentia|Venerida|Veneroidea|Veneridae|Venerinae|Mercenaria|Mercenaria mercenaria,
