Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. struthionides,2732,2748,6.73,2,,,,NoMatch,0.0,,,,,,,,
1,,A. struthionides community,17823,17850,6.16,3,,,,NoMatch,0.0,,,,,,,,
2,,Aglaophenia,534,545,4.37,1,,,,Exact,9.41496,0,"Aglaophenia Lamouroux, 1812",Aglaophenia,7NNBQ,1,Catalogue of Life,Biota|Animalia|Cnidaria|Hydrozoa|Hydroidolina|Leptothecata|Plumularioidea|Aglaopheniidae|Aglaophenia,
3,,Aglaophenia struthionides,105,131,11.50,2,,,,Exact,9.41496,0,"Aglaophenia struthionides (Murray, 1860)",Aglaophenia struthionides,65RHT,1,Catalogue of Life,Biota|Animalia|Cnidaria|Hydrozoa|Hydroidolina|Leptothecata|Plumularioidea|Aglaopheniidae|Aglaophenia|Aglaophenia struthionides,
4,,Amphipoda,15000,15010,4.14,1,,,,Exact,9.41496,0,"Amphipoda Latreille, 1816",Amphipoda,BMGVN,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda,
5,,Asterias forbesi,16266,16283,10.82,2,,,,Exact,9.41496,0,"Asterias forbesi (Desor, 1848)",Asterias forbesi,HRJ4,1,Catalogue of Life,Biota|Animalia|Echinodermata|Asterozoa|Asteroidea|Ambuloasteroidea|Neoasteroidea|Forcipulatacea|Forcipulatida|Asteriidae|Asterias|Asterias forbesi,
6,,B�c. penantis,18396,18410,6.56,2,,,,NoMatch,0.0,,,,,,,,
7,,C. brevirostris,38,54,7.30,2,,,,NoMatch,0.0,,,,,,,,
8,,C. californica,1948,1963,7.64,2,,,,NoMatch,0.0,,,,,,,,
9,,C. incisa,2039,2050,5.19,2,,,,NoMatch,0.0,,,,,,,,
10,,C. incisa found,12202,12217,4.43,3,,,,NoMatch,0.0,,,,,,,,
11,,C. penantis,1917,1930,6.56,2,,,,NoMatch,0.0,,,,,,,,
12,,C. penantis may,59,74,3.71,3,,,,NoMatch,0.0,,,,,,,,
13,,Caprella,1908,1916,4.86,1,,,,Exact,9.41496,0,"Caprella Lamarck, 1801",Caprella,7NRTQ,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda|Senticaudata|Corophiida|Caprellidira|Caprelloidea|Caprellidae|Caprellinae|Caprella,
14,,Caprella californica,16,37,12.90,2,,,,Exact,9.41496,0,"Caprella californica Stimpson, 1856",Caprella californica,QS98,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda|Senticaudata|Corophiida|Caprellidira|Caprelloidea|Caprellidae|Caprellinae|Caprella|Caprella californica,
15,,Caprella equilibra,15576,15594,11.55,2,,,,Exact,9.41496,0,"Caprella equilibra Say, 1818",Caprella equilibra,699LY,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda|Senticaudata|Corophiida|Caprellidira|Caprelloidea|Caprellidae|Caprellinae|Caprella|Caprella equilibra,
16,,Caprella grahami,16208,16225,10.71,2,,,,Exact,9.41496,0,"Caprella grahami Wigley & Shave, 1966",Caprella grahami,68XLV,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda|Senticaudata|Corophiida|Caprellidira|Caprelloidea|Caprellidae|Caprellinae|Caprella|Caprella grahami,
17,,Caprella incisa may,132,151,7.60,3,,,,PartialExact,8.65558,0,"Caprella incisa Mayer, 1903",Caprella incisa,5WXMB,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda|Senticaudata|Corophiida|Caprellidira|Caprelloidea|Caprellidae|Caprellinae|Caprella|Caprella incisa,
18,,Caprella penantis,16970,16987,11.83,2,,,,Exact,9.41496,0,"Caprella penantis Leach, 1814",Caprella penantis,699MF,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda|Senticaudata|Corophiida|Caprellidira|Caprelloidea|Caprellidae|Caprellinae|Caprella|Caprella penantis,
