Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Amphipoda,631,641,4.14,1,,,,Exact,9.41496,0,"Amphipoda Latreille, 1816",Amphipoda,BMGVN,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda,
1,,B. glandula,2869,2880,6.33,2,,,,NoMatch,0.0,,,,,,,,
2,,B. perforatus,1621,1635,7.76,2,,,,NoMatch,0.0,,,,,,,,
3,,Balanus,3635,3642,5.10,1,,,,Exact,9.41461,0,"Balanus Distant, 1918",Balanus,8R3Y5,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Hemiptera|Cicadomorpha|Membracoidea|Cicadellidae|Deltocephalinae|Scaphoideini|Scaphoideus|Scaphoideus,
4,,Balanus glandula,2464,2480,11.83,2,,,,Exact,9.41426,0,Balanus glandula Darwin 1854,Balanus glandula,302463,172,PaleoBioDB,||Cirripedia|Sessilia|Balanus glandula,
5,,Balanus nauplii,1997,2012,8.20,2,,,,Exact,9.41003,0,Balanus nauplii,Balanus nauplii,2867608,168,ION,,
6,,Balanus perforatus,1164,1182,13.26,2,,,,Exact,9.41391,0,"Balanus perforatus Bruguière, 1789",Balanus perforatus,urn:lsid:marinespecies.org:taxname:106219,9,WoRMS,Animalia|Arthropoda|Thecostraca|Balanomorpha|Balanidae|Perforatus|Perforatus perforatus,
7,,Chthamalus stellatus,1751,1771,13.60,2,,,,Exact,9.41426,0,"Chthamalus stellatus (Poli, 1791)",Chthamalus stellatus,urn:lsid:marinespecies.org:taxname:106231,9,WoRMS,Animalia|Arthropoda|Thecostraca|Balanomorpha|Chthamalidae|Chthamalus|Chthamalus stellatus,
8,,Cirripedia,794,805,3.81,1,,,,Exact,9.41426,0,"Cirripedia Burmeister, 1834",Cirripedia,89433,3,ITIS,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Maxillopoda|Thecostraca|Cirripedia,
9,,Cladocera,585,595,5.60,1,,,,Exact,9.41461,0,"Cladocera Rambur, 1858",Cladocera,924H8,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Noctuoidea|Noctuidae|Noctuinae|Episema,
