Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Cebidichthys,13579,13592,5.11,1,,,,Exact,9.41426,0,"Cebidichthys Ayres, 1855",Cebidichthys,171617,3,ITIS,Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Acanthopterygii|Perciformes|Zoarcoidei|Stichaeidae|Cebidichthys,
1,,Citharichthys sordidus,4984,5008,12.06,2,,,,Exact,9.41496,0,"Citharichthys sordidus (Girard, 1854)",Citharichthys sordidus,VM6Y,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Pleuronectiformes|Paralichthyidae|Citharichthys|Citharichthys sordidus,
2,,Citharichthys stigmaeus,13493,13519,12.37,2,,,,Exact,9.41496,0,"Citharichthys stigmaeus Jordan & Gilbert, 1882",Citharichthys stigmaeus,VM73,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Pleuronectiformes|Paralichthyidae|Citharichthys|Citharichthys stigmaeus,
3,,Embiotica lateralis,13536,13557,4.85,2,,,,Fuzzy,9.39194,1,"Embiotoca lateralis Agassiz, 1854",Embiotoca lateralis,39FYT,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Perciformes|Embiotocidae|Embiotoca|Embiotoca lateralis,
4,,Hara,1656,1662,3.31,1,,,,Exact,9.41426,0,"Hara Blyth, 1860",Hara,164115,3,ITIS,Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Ostariophysi|Siluriformes|Sisoridae|Hara,
5,,Scorpionidae,3227,3239,5.13,1,,,,Exact,9.41496,0,"Scorpionidae Latreille, 1802",Scorpionidae,G5G,1,Catalogue of Life,Biota|Animalia|Arthropoda|Arachnida|Scorpiones|Scorpionidae,
6,,Sebastes,68,76,2.42,1,,,,Exact,9.41426,0,"Sebastes Cuvier, 1829",Sebastes,166705,3,ITIS,Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Actinopterygii|Teleostei|Acanthopterygii|Scorpaeniformes|Scorpaenoidei|Scorpaenidae|Sebastes,
7,,Sebastes atrovirens,20914,20934,9.29,2,,,,Exact,9.41496,0,"Sebastes atrovirens (Jordan & Gilbert, 1880)",Sebastes atrovirens,4W7KW,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Scorpaeniformes|Sebastidae|Sebastes|Sebastes atrovirens,
8,,Sebastes chrysomelus,22463,22484,10.17,2,,,,Fuzzy,9.39194,1,"Sebastes chrysomelas (Jordan & Gilbert, 1881)",Sebastes chrysomelas,4W7LF,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Scorpaeniformes|Sebastidae|Sebastes|Sebastes chrysomelas,
9,,Sebastes chrysomelus olfactory,20497,20527,9.98,3,,,,PartialFuzzy,8.50276,1,"Sebastes chrysomelas (Jordan & Gilbert, 1881)",Sebastes chrysomelas,4W7LF,1,Catalogue of Life,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Actinopterygii|Scorpaeniformes|Sebastidae|Sebastes|Sebastes chrysomelas,
