Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. californicum,5290,5305,7.09,2,,,,NoMatch,0.0,,,,,,,,
1,,A. psammion,5489,5501,2.30,2,,,,NoMatch,0.0,,,,,,,,
2,,Aplidium,21164,21172,4.97,1,,,,Exact,9.41496,0,"Aplidium Savigny, 1816",Aplidium,7NPDS,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polyclinidae|Aplidium,
3,,Aplidium arenatum,6100,6117,12.58,2,,,,Exact,9.41496,0,"Aplidium arenatum (Van Name, 1945)",Aplidium arenatum,FNTR,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polyclinidae|Aplidium|Aplidium arenatum,
4,,Aplidium californicum,4605,4626,12.47,2,,,,Exact,9.41496,0,"Aplidium californicum (Ritter & Forsyth, 1917)",Aplidium californicum,67NPZ,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polyclinidae|Aplidium|Aplidium californicum,
5,,Aplidium lifornicum,20594,20613,7.37,2,,,,PartialExact,8.65558,0,"Aplidium Savigny, 1816",Aplidium,7NPDS,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polyclinidae|Aplidium,
6,,Aplidium solidum,19999,20015,10.78,2,,,,Exact,9.41496,0,"Aplidium solidum (Ritter & Forsyth, 1917)",Aplidium solidum,67NQ3,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polyclinidae|Aplidium|Aplidium solidum,
7,,Aplioium californicum,22138,22159,7.04,2,,,,Fuzzy,9.39194,1,"Aplidium californicum (Ritter & Forsyth, 1917)",Aplidium californicum,67NPZ,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polyclinidae|Aplidium|Aplidium californicum,
8,,Archidistoma,20039,20051,5.84,1,,,,Exact,9.41496,0,"Archidistoma Garstang, 1891",Archidistoma,7NPKJ,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polycitoridae|Archidistoma,
9,,Archidistoma diaphanes,20016,20038,10.83,2,,,,Exact,9.41461,0,"Archidistoma diaphanes (Ritter & Forsyth, 1917)",Archidistoma diaphanes,G8X7,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polycitoridae|Eudistoma|Eudistoma diaphanes,
10,,Archidistoma molle,20159,20177,10.25,2,,,,Exact,9.41461,0,"Archidistoma molle (Ritter, 1900)",Archidistoma molle,G8XB,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polycitoridae|Eudistoma|Eudistoma molle,
11,,Archidistoma psammion,5095,5116,8.55,2,,,,Exact,9.41461,0,"Archidistoma psammion (Ritter & Forsyth, 1917)",Archidistoma psammion,G8XF,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polycitoridae|Eudistoma|Eudistoma psammion,
12,,Archidistoma ritteri,23101,23122,13.24,2,,,,Exact,9.41461,0,"Archidistoma ritteri (Van Name, 1945)",Archidistoma ritteri,G8XH,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polycitoridae|Eudistoma|Eudistoma ritteri,
13,,Archidistoma solidum,23830,23850,11.65,2,,,,PartialExact,8.65558,0,"Archidistoma Garstang, 1891",Archidistoma,7NPKJ,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polycitoridae|Archidistoma,
14,,Asc ceratodes,21070,21084,2.13,2,,,,NoMatch,0.0,,,,,,,,
15,,Ascidia,17920,17927,3.79,1,,,,Exact,9.41496,0,"Ascidia Linnaeus, 1767",Ascidia,7NPT9,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Phlebobranchia|Ascidiidae|Ascidia,
16,,Ascidia ceratodes,3056,3075,10.68,2,,,,Exact,9.41496,0,"Ascidia ceratodes (Huntsman, 1912)",Ascidia ceratodes,67S8S,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Phlebobranchia|Ascidiidae|Ascidia|Ascidia ceratodes,
17,,Asterias rubens,515,531,6.98,2,,,,Exact,9.41496,0,"Asterias rubens Linnaeus, 1758",Asterias rubens,HRM8,1,Catalogue of Life,Biota|Animalia|Echinodermata|Asterozoa|Asteroidea|Ambuloasteroidea|Neoasteroidea|Forcipulatacea|Forcipulatida|Asteriidae|Asterias|Asterias rubens,
18,,Botrylloides,3033,3045,4.07,1,,,,Exact,9.41496,0,"Botrylloides Milne Edwards, 1841",Botrylloides,7NQZC,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Stolidobranchia|Styelidae|Botrylloides,
19,,Botryllus,3018,3027,5.60,1,,,,Exact,9.41496,0,"Botryllus Gaertner, 1774",Botryllus,7NQZF,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Stolidobranchia|Styelidae|Botryllus,
20,,C. ligatum,7434,7444,7.03,2,,,,NoMatch,0.0,,,,,,,,
21,,Calliostoma,5793,5804,5.64,1,,,,Exact,9.41496,0,"Calliostoma Swainson, 1840",Calliostoma,7NRL5,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Trochida|Trochoidea|Calliostomatidae|Calliostomatinae|Calliostoma,
22,,Calliostoma annulatum,7385,7406,13.38,2,,,,Exact,9.41426,0,Calliostoma annulatum (Lightfoot 1786),Calliostoma annulatum,407278,172,PaleoBioDB,||Gastropoda||Calliostoma annulatum,
23,,Calliostoma ligatum,5434,5453,13.07,2,,,,Exact,9.41496,0,"Calliostoma ligatum (A. Gould, 1849)",Calliostoma ligatum,68VVQ,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Trochida|Trochoidea|Calliostomatidae|Calliostomatinae|Calliostoma|Calliostoma ligatum,
24,,Ceratodes,17928,17937,3.79,1,,,,Exact,9.41461,0,"Ceratodes Guilding, 1828",Ceratodes,BG9C6,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Architaenioglossa|Ampullarioidea|Ampullariidae|Pomaceinae|Marisa,
25,,Ciavelina huntsmani,21092,21111,5.43,2,,,,Fuzzy,9.39194,1,"Clavelina huntsmani Van Name, 1931",Clavelina huntsmani,5Z9G3,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Clavelinidae|Clavelina|Clavelina huntsmani,
26,,Ciona intestinalis,17393,17411,11.88,2,,,,Exact,9.41496,0,"Ciona intestinalis (Linnaeus, 1767)",Ciona intestinalis,VFCZ,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Phlebobranchia|Cionidae|Ciona|Ciona intestinalis,
27,,Clavelina,4852,4862,4.10,1,,,,Exact,9.41496,0,"Clavelina Savigny, 1816",Clavelina,7NT34,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Clavelinidae|Clavelina,
28,,Clavelina huntsmani,4738,4758,10.86,2,,,,Exact,9.41496,0,"Clavelina huntsmani Van Name, 1931",Clavelina huntsmani,5Z9G3,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Clavelinidae|Clavelina|Clavelina huntsmani,
29,,Corella willmeriana,17127,17146,12.85,2,,,,Exact,9.41496,0,"Corella willmeriana Herdman, 1898",Corella willmeriana,YDDB,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Phlebobranchia|Corellidae|Corella|Corella willmeriana,
30,,Cystodytes,5658,5668,2.79,1,,,,Exact,9.41496,0,"Cystodytes Drasche, 1884",Cystodytes,7NVBH,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polycitoridae|Cystodytes,
